EventId,EventTemplate,Occurrences
946610a6,generating <*>,21628
a4c32faf,data TLB error interrupt,1920
e7cd4840,ciod: generated  core files for program ,844
6f774513,Node card VPD check:  node in processor card slot  do not match. VPD ecid  found ,264
901ce162,CE sym  at  mask ,2532
a007dbcc,"ciod: Received signal 15, code=0, errno=0, ",500
08a7a03a,16076802 floating point alignment exceptions,1
2d924494,0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr.,1721
e346b0ca,total of  ddr error(s) detected and corrected,357
30529298,iar 00106bd8 dear ,64
f2bd0d20,114529328 double-hummer alignment exceptions,1
2dbabc14,iar 003a9260 dear ,250
278b02ef,iar 00106214 dear 02f75cdc,7
b3ab3221,38917706 double-hummer alignment exceptions,1
2193e280,ciod: Error reading message prefix after  on CioStream socket to     ,288
5dbd85b2,program interrupt: illegal ,155
e68abdef,idoproxydb hit ASSERT condition: ASSERT  Source  Source  Function=int  ,1069
45a6d61d,store operation.............................0,42
d0587e83,iar 00105e98 dear ,15
c44ce7e9,15 floating point alignment exceptions,410
0539712c,"10652 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",28
b871b2b2,1146800 double-hummer alignment exceptions,927
46bd866b,ciod: Error loading        ,538
a75b17db,iar  dear 0252524c,17
8181d880,ciod: failed to read message prefix on control stream (CioStream socket to ,69
db245064,44354844 double-hummer alignment exceptions,1
5941d12d,data store interrupt caused by ,266
161c8b7b,1814262 floating point alignment exceptions,2
24750a5a,"1 ddr errors(s) detected and corrected on rank 0, symbol  bit ",230
e21dcac7,instruction cache parity error corrected,1284
c105ddb5,instruction address: 0x00004ed8,592
7f1d69ff,iar 0010653c dear ,47
7ee70687,"10726 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",48
021f714f,iar 00106380 dear ,12
bc0af67f,ciod: Error reading message prefix on CioStream socket to     ,375
e2bd8dbe,data storage interrupt,789
ed3d63e8,"4 ddr errors(s) detected and corrected on rank 0, symbol  bit ",19
bdf31d54,iar 00100798 dear ,26
9317ce26,debug interrupt enable............0,106
447448ee,iar 00105e78 dear ,35
465a70fb,Can not get assembly information for node card,204
6a966f5f,"critical input interrupt (unit=0x0b  warning for   wire, suppressing further interrupts of same type",44
113fa55e,ciod: Error creating node map from file    ,65
16f87d0c,"10772 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",23
8ff89add,"10731 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",2
081d8029,38070910 double-hummer alignment exceptions,1
b8a246c1,iar 001061dc dear ,216
63d2a3b0,iar  dear 02f692ec,14
108470fa,iar 00106580 dear ,262
98e244eb,"NFS Mount failed on  slept  seconds, retrying ",26
537fa53c,iar 00105e74 dear ,17
78b1c914,"10696 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",23
5f58909e,"problem state (0=sup,1=usr).......0",76
d9219c48,iar 003a929c dear ,121
6708e923,exception syndrome register: ,222
901fb52f,"ciod: Error loading  invalid or missing program image, Exec format error",274
cf11df8c,62500 floating point alignment exceptions,181
b082b4f7,"10748 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",22
5f5e64c1,25947410 double-hummer alignment exceptions,1
c2c61c3b,344040 double-hummer alignment exceptions,298
faa21128,"10740 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",40
4f74c91e,640404 floating point alignment exceptions,81
3adc7dc8,iar 00106678 dear ,58
bca37466,ciod: Missing or invalid fields on line 1 of node map file ,25
fea6b6a3,Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The 2.5 volt rail is OK. The 1.5 volt rail is OK.,230
90582f82,5 floating point alignment exceptions,679
2faf1a85,"ciod: Error loading  invalid or missing program image, No such file or directory",586
f3dbe243,487476 floating point alignment exceptions,53
57ddb8aa,"10698 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",41
6b2cbbf9,1005 floating point alignment exceptions,185
e1d3ea94,program interrupt: trap instruction.........0,123
fcb6eaf2,iar 00149ee0 dear ,61
35753372,iar 00106ba8 dear ,28
561428bb,iar 00106228 dear ,282
c0767c02,instruction address space.........0,84
bffe8e6a,iar 00106570 dear ,81
c5622be2,135780186 double-hummer alignment exceptions,1
528ea343,iar 00106494 dear ,64
8c91f41e,Kernel detected  integer alignment exceptions  iar  dear   iar  dear   iar  dear   iar  dear   iar  dear   iar  dear   iar  dear   iar  dear ,266
c969ee68,1 torus receiver  input pipe error(s) (dcr  detected and corrected,91
a29e66d7,"10744 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",38
e475b4c6,data write plb ,6
ec7dca2a,data cache  parity error detected. attempting to correct,167
65287733,135587142 double-hummer alignment exceptions,1
d2ab397a,33745614 double-hummer alignment exceptions,1
3083344b,8 floating point alignment exceptions,839
0efaacf1,1375513600 double-hummer alignment exceptions,1
e1f80a39,force load/store alignment...............0,29
141622bc,iar 00149f88 dear ,58
856a65c3,112613352 double-hummer alignment exceptions,1
dfa12281,Lustre mount FAILED :  : point /p/gb1,341
3b584150,"10654 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",23
7903a8b9,data address space................0,66
dfdbe78c,112277896 double-hummer alignment exceptions,1
3b9fd46c,byte ordering exception.....................0,90
a652fe7e,ciod: LOGIN  failed: No such file or directory,566
b0bc2bbd,1319316592 double-hummer alignment exceptions,1
3a04f185,store operation.............................1,86
f2d3ed15,2354412 floating point alignment exceptions,255
3072ad9f,685 floating point alignment exceptions,230
a76581a0,disable trace broadcast..................0,29
6c1d2bfc,New ido chip inserted into the database:    ,46
977e20b3,Found invalid node ecid in processor card slot  ecid 0000000000000000000000000000,80
6ca61b65,instruction plb error.............0,3
415e72d5,3095040 double-hummer alignment exceptions,29
a207ab97,rts: kernel terminated for reason ,219
0f4fed5b,floating pt ex mode  ,172
008817f8,"13 ddr errors(s) detected and corrected on rank 0, symbol  bit ",3
d11ab42e,LinkCard power module U58 is not accessible,4
dd796eda,disable speculative access...............0,2
d9a353bd,auxiliary processor.........................0,95
fb2ee12a,Microloader Assertion,16
24bcbf13,iar 001061fc dear ,29
0f8dfc33,iar 00105e88 dear ,36
dda3283f,3 L3 EDRAM error(s) (dcr 0x0157) detected and corrected,6
ef553c62,1030400 double-hummer alignment exceptions,32
b777712d,PrepareForService shutting down      as part of Service Action ,28
3e151324,program interrupt: unimplemented operation..0,103
1cb74fd1,iar  dear 0246f77c,20
cbb33186,"920 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",1
24c48012,3091200 double-hummer alignment exceptions,177
243ca606,640764 floating point alignment exceptions,57
13e835e7,iar 0010620c dear ,25
592809b9,114190400 double-hummer alignment exceptions,1
1351e2e4,iar 0014a150 dear ,259
cf117fcb,Node card is not fully functional,211
04af3e5b,floating point operation....................0,131
edffff57,368010 double-hummer alignment exceptions,26
a7cd1c9b,1969920 double-hummer alignment exceptions,50
ee031ae3,wait state enable.................0,81
8a1e55af,36822716 double-hummer alignment exceptions,1
ed1433ad,ciod: pollControlDescriptors: Detected the debugger died.,77
f1abb694,iar 001061e8 dear ,163
a7413768,total of  ddr error(s) detected and corrected over  seconds,138
70d07f88,iar 001061b4 dear ,108
2f62bebd,iar 00106bc0 dear ,62
06b6caf2,disable store gathering..................0,79
d074aabb,iar 003a9294 dear ,20
e3ec8eca,iar 0010684c dear ,21
a1794837,"10752 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",26
623540fb,645045984 double-hummer alignment exceptions,1
da47177f,753930512 double-hummer alignment exceptions,1
93c07c07,"11 ddr errors(s) detected and corrected on rank 0, symbol  bit ",6
47f83898,program interrupt: privileged instruction...0,142
deefe163,Ido packet timeout,58
acceef06,"10710 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",31
238d8fa6,2 torus receiver  input pipe error(s) (dcr  detected and corrected,19
e9c2fbfc,iar 00106470 dear ,68
0c4b83ad,"9 ddr errors(s) detected and corrected on rank 0, symbol  bit ",7
710a71f7,machine state register: ,105
b54b65c8,iar 003a92a0 dear ,126
a4a27b2e,"10734 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",16
2c542d91,iar 00106274 dear ,22
a9fbdfaf,iar 001007a8 dear ,21
07231026,iar 00106568 dear ,269
376aaa20,"10662 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",29
247c05cb,iar 003a926c dear ,68
9932a997,instruction address: 0x001e5bd4,1
6aef68d4,154099950 double-hummer alignment exceptions,1
8ef85a07,26501842 double-hummer alignment exceptions,1
4b6b9fe0,machine check: i-fetch......................0,219
6b3e0c4d,iar 00106210 dear ,319
86be97de,rts: bad message header: index 0 greater than total 0 (softheader=00000002 00000001 00000000 00000000) PSR0=00000000 PSR1=00000000 PRXF=0000002a PIXF=00000007,1
2b1d44bc,iar  dear 0246dd9c,5
75d8ed80,113188832 double-hummer alignment exceptions,1
6076679c,138617946 double-hummer alignment exceptions,1
9bfdc39a,16:00000800 17:00000001 18:00000000 19:00000000,7
1e4989f1,458720 double-hummer alignment exceptions,145
d66a92eb,114196848 double-hummer alignment exceptions,1
59501f99,iar 00106cf8 dear ,5
5d5b00ea,special purpose registers:,37
7b6a9ac2,6182400 double-hummer alignment exceptions,64
04bd23df,"Error receiving packet on tree network, expecting type 57 instead of type 3   00000002 00000000)  PSR1=00000000 PRXF=00000002 PIXF=00000007",77
56ed90ca,33801874 double-hummer alignment exceptions,1
bd68adc9,Ido chip status changed:     status=M      2005,156
4707caf5,iar 00100788 dear ,16
537af304,367836 floating point alignment exceptions,8
95aab501,6 L3 EDRAM error(s) (dcr 0x0157) detected and corrected,1
