EventId,EventTemplate,Occurrences
54a90e3c,PAM <*> more authentication <*> logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,248
b542638e,message repeated <*> times: [ Failed password for root from <*> port <*> ssh2],304
9302fad4,Invalid user <*> from <*>,129
f831cb6d,Failed password for <*> from <*> port <*> ssh2,1080
509a487f,Disconnecting: Too many authentication failures for <*> [preauth],294
e2315f39,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,126
f7fe7f88,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!,134
c5704dd9,Received disconnect from <*>: 11: Bye Bye [preauth],375
00a684b8,PAM service(sshd) ignoring max retries; <*> > 3,297
2491ca3e,Connection closed by <*> [preauth],506
e35a70fe,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> <*>,1038
0849a7d0,pam_unix(sshd:auth): check pass; user unknown,162
21bb6d0e,Failed password for invalid user <*> from <*> port <*> ssh2,147
e2e22af4,Received disconnect from <*>: 11: Closed due to user request. [preauth],4
6b674ff1,input_userauth_request: invalid user <*> [preauth],118
d7242a1b,error: Received disconnect from <*>: 14: No more user authentication methods available. [preauth],6
74223a85,PAM <*> more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,10
0c7b42d8,"Address <*> maps to <*>, but this does not map back to the address - POSSIBLE BREAK-IN ATTEMPT!",3
c68e7fe9,Failed none for invalid user admin from <*> port 35399 ssh2,1
a998e480,fatal: Read from socket failed: Connection reset by peer [preauth],6
3a82a99b,Received disconnect from <*>: 11: Client disconnecting normally [preauth],2
c926c7d9,Did not receive identification string from <*>,6
3a7285d3,error: Received disconnect from <*>: 3: <*>: Auth fail [preauth],1
8bb6393b,Received disconnect from <*>: 11: disconnect [preauth],1
62784b9d,"Received disconnect from <*>: 11: Normal Shutdown, Thank you for playing [preauth]",2
