EventId,EventTemplate,Occurrences
e35a70fe,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> <*>,2138
f831cb6d,Failed password for <*> from <*> port <*> ssh2,2244
c926c7d9,Did not receive identification string from <*>,14
509a487f,Disconnecting: Too many authentication failures for <*> [preauth],580
00a684b8,PAM service(sshd) ignoring max retries; <*> > 3,576
2491ca3e,Connection closed by <*> [preauth],1005
6b674ff1,input_userauth_request: invalid user <*> [preauth],238
54a90e3c,PAM <*> more authentication <*> logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> user=root,587
c5704dd9,Received disconnect from <*>: 11: Bye Bye [preauth],694
0849a7d0,pam_unix(sshd:auth): check pass; user unknown,305
21bb6d0e,Failed password for invalid user <*> from <*> port <*> ssh2,280
b542638e,message repeated <*> times: [ Failed password for root from <*> port <*> ssh2],568
9302fad4,Invalid user <*> from <*>,200
e2315f39,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,230
f7fe7f88,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!,256
2702de18,Failed none for invalid user <*> from <*> port <*> ssh2,6
a998e480,fatal: Read from socket failed: Connection reset by peer [preauth],11
0c7b42d8,"Address <*> maps to <*>, but this does not map back to the address - POSSIBLE BREAK-IN ATTEMPT!",15
d7242a1b,error: Received disconnect from <*>: 14: No more user authentication methods available. [preauth],12
6ff8b88b,PAM <*> more authentication <*> logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,15
8bb6393b,Received disconnect from <*>: 11: disconnect [preauth],3
0a1f9bbf,Received disconnect from <*>: 11: [preauth],2
e2e22af4,Received disconnect from <*>: 11: Closed due to user request. [preauth],11
3a82a99b,Received disconnect from <*>: 11: Client disconnecting normally [preauth],2
3a7285d3,error: Received disconnect from <*>: 3: <*>: Auth fail [preauth],2
ac22ce5f,pam_unix(sshd:session): session closed for user <*>,3
e2a91510,Accepted password for hxu from <*> port 61761 ssh2,1
b7a32072,pam_unix(sshd:session): session opened for user <*> by (uid=0),2
