EventId,EventTemplate,Occurrences
b7a2d271,en0::IO80211Interface::postMessage bssid changed,25
60a574ff,CCFile::captureLog Received Capture notice id: <*> reason = <*>,36
f1885a0f,CCFile::captureLogRun Skipping current file Dir file <*> Current File <*>,62
e3d70e64,<*> <*> | I | VoipWrapper | DAVEngineImpl.cpp:1400:Close | close video chat. llFriendUIN = <*>,11
de1b8e5e,AirPort: Link Up on <*>,32
703d433b,ARPT: <*> wl0: <*> <*> <*> <*>,69
bb15d06c,Sandbox: <*> deny(1) <*> <*>,73
fea8a7f7,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = <*> unplug = 0,68
01660cbd,ARPT: <*> AirPort_Brcm43xx::platformWoWEnable: <*>,47
ca501184,send_datagram_available_ping: pid 445 failed to act on a ping it dequeued before timing out.,94
a91f5e42,ARPT: <*> wl0: setup_keepalive: Local port: <*> Remote port: <*>,14
4a019d20,CCFile::captureLog,39
9cf261a8,ARPT: <*> wlc_dump_aggfifo:,16
5d3b8c8e,AppleCamIn::handleWakeEvent_gated,26
19147422,<*> deny network-outbound /private/var/run/mDNSResponder,57
7437a69c,en0: 802.11d country code set to <*>,21
879f9d34,Wake reason: <*> <*>,19
13635c18,<*> - <*> = <*>,129
e3190f64,"bitmap_size 0x7f0fc, previewSize 0x4028, writing 455779 pages @ 0x97144",1
b9b132a2,"Path not allowed in target domain: type = pid, path = /System/Library/StagedFrameworks/Safari/SafariShared.framework/Versions/A/XPCServices/<*>/Contents/MacOS/<*> error = 147: The specified service did not ship in the requestor's bundle, origin = /System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/<*>",42
2fe4ad5c,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7,13
a2f00a21,<*> (Fig) signalled <*>,2
13c2a597,ARPT: <*> wl0: wl_update_tcpkeep_seq: Original Seq: <*> Ack: <*> Win size: 4096,15
ecd68958,en0: <*> changed to <*>,125
8274cb77,"network_reachability_changed : network is not reachable, netbiosd is shutting down",9
54c05f44,tcp_connection_handle_connect_conditions_bad <*> failed: 3 - No network route,33
b4bf6097,<*> : BTLE scanner Powered <*>,33
2d0d617f,CCFile::captureLogRun() Exiting CCFile::captureLogRun,59
9a054d77,-[NETClientConnection effectiveBundleID] using process name <*> as bundle ID (this is expected for daemons without bundle ID,37
b9ada29c,"[CardDAVPlugin-ERROR] -getPrincipalInfo:[_controller supportsRequestCompressionAtURL:https://xpc_ben%40163.com@<*>/principals/users/558548ec28fbd965ade28995b355b70d/] Error Domain=NSURLErrorDomain Code=-1001 ""The request timed out."" UserInfo={NSUnderlyingError=0x7fe2bb671620 {Error Domain=kCFErrorDomainCFNetwork Code=-1001 ""The request timed out."" UserInfo={NSErrorFailingURLStringKey=https://xpc_ben%40163.com@<*>/principals/users/558548ec28fbd965ade28995b355b70d/, NSErrorFailingURLKey=https://xpc_ben%40163.com@<*>/principals/users/558548ec28fbd965ade28995b355b70d/, _kCFStreamErrorCodeKey=-2102, _kCFStreamErrorDomainKey=4, NSLocalizedDescription=The request timed out.}}, NSErrorFailingURLStringKey=https://xpc_ben%40163.com@<*>/principals/users/558548ec28fbd965ade28995b355b70d/, NSErrorFailingURLKey=https://xpc_ben%40163.com@<*>/principals/users/558548ec28fbd965ade28995b355b70d/, _kCFStreamErrorDomainKey=4, _kCFStreamErrorCodeKey=-2102, NSLocalizedDescription=The request timed out.}",1
4cedf359,Unable to simultaneously satisfy constraints:,13
b55176d9,jemmytest,25
612f3a4f,ARPT: 784388.461503: wl0: wl_update_tcpkeep_seq: mDNSOffloadUserClient::GetKeepaliveData failed,1
b7aaf5db,Thermal pressure state: <*> Memory pressure state: 0,88
83801e0d,ASSERTION FAILED: dvcAddrRef != ((void *)0) -[DriverServices getDeviceAddress:] line: 2789,8
6a6d7984,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from <*> to <*>,48
a5714044,AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds,39
fe0771c3,dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>,88
b7844740,-[ISGenerateImageOp generateImageWithCompletion:] Failed to composit image for descriptor <ISBindingImageDescriptor: <*>,27
f1b7493a,(DiskStore.Normal:2382) 4001 1.014334,1
99b87c94,ARPT: <*> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.,18
a0672ef8,"ARPT: <*> wl0: setup_keepalive: interval <*> retry_interval 30, retry_count 10",16
aad31e72,"PBRequester failed with Error Error Domain=NSURLErrorDomain Code=-1009 ""The Internet connection appears to be offline."" <*> {Error Domain=kCFErrorDomainCFNetwork Code=-1009 ""The Internet connection appears to be offline."" <*> <*> _kCFStreamErrorCodeKey=8, _kCFStreamErrorDomainKey=12, NSLocalizedDescription=The Internet connection appears to be offline.}}, <*> <*> _kCFStreamErrorDomainKey=12, _kCFStreamErrorCodeKey=8, NSLocalizedDescription=The Internet connection appears to be offline.}",6
8c3389f0,"<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",301
3a1142a3,Cocoa scripting error for <*> four character codes must be four characters long.,154
c98b00da,<*> : BTLE scanning <*>,11
2874a578,RTC: Maintenance <*> <*> sleep <*> <*>,7
0753c14d,ARPT: <*> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq <*> Ack <*> Win size <*>,24
04f0e432,AppleThunderboltNHIType2::prePCIWake - power up complete - took <*> us,48
d8cfefd6,<*> <<<< Boss >>>> figPlaybackBossPrerollCompleted: unexpected preroll-complete notification,37
6995a7cd,[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: <*> <*>,32
1bf3d457,"USBMSC Identifier (non-unique): 000000000820 0x5ac 0x8406 0x820, 3",24
d9e7a914,<*> FigAgglomeratorSetObjectForKey signalled err=-16020 (kFigStringConformerError_ParamErr) (NULL key) at /Library/Caches/<*>/Sources/CoreMedia/<*>/Prototypes/LegibleOutput/FigAgglomerator.c line 92,40
a12012c8,"NETWORK: requery, 0, 0, 0, 0, <*> items, fQueryRetries, <*> fLastRetryTimestamp, <*>",38
016decae,AppleCamIn::wakeEventHandlerThread,51
941e57f4,Session 101835 destroyed,1
5d93f388,"device_generate_lock_screen_screenshot: authw <*> 0, <*> <*> shield <*> dev [1440,900]",10
cb6d7ba7,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType=0 (null)/(null) opts=(null) <*> <*> +0000 confidence=1 from=(null)/(null) (UABestAppSuggestionManager.m #319),23
