EventId,EventTemplate,Occurrences
4b8d59ce,<*> <*> <*> = false,73
49bbaaac,[CheckVersionTask.doInBackground]Start,1
066474a4,<*> <*> rt=<*><*> <*> <*>,71
4de3e872,"getTempInfo error: null, <*>",549
e5e19366,<*> action <*> <*>,62
c68fa020,"acquire lock=<*>, flags=<*>, <*> <*> <*> uid=<*>, pid=<*>",254
20dde6b6,earliestValidTime + <*>,184
f6188414,"onNotificationPosted: StatusBarNotification(pkg=<*> user=UserHandle{<*>} id=<*> tag=null key=<*>|<*>|<*>|null|<*>: <*> contentView=null vibrate=null sound=null defaults=<*> flags=<*> color=<*> vis=PRIVATE)) important=<*>, post=<*>, when=<*>, vis=<*>, userid=<*>",52
d040c7f0,at <*>(Native Method),106
2561f5e6,onDataActivity: direction=<*>,152
8b2b465f,<*> to Prefence <*>,9
5210da50,updateClipping <*>,164
1cbaf690,<<*><*><*> <*>:<*>:<*>> [NOTICE] SDK: UE-SeC <*><*><*> <*>:<*>:<*>:<*> Level[NOTICE] magic[<*> <*>]:FileSec: have right to open file due to cur app sec level = <*> is higher than file app(&5ߢ[@ñ?z]) sec level = <*>.,40
9b9f7f2a,InCallPresenter - onCallListChange oldState= <*> newState=NO_CALLS,2
45c87252,at <*> Source),39
b29d6ea3,<<*><*><*> <*>:<*>:<*>> <*> SDK: UE-SeC <*><*><*> <*>:<*>:<*>:<*> <*> magic[<*> <*> <*> <*> <*> <*> <*> <*> <*>,1123
412cb58c,getOrInflateState subId:<*>,516
cce126f9,PowerManagerService Waking up from sleep (uid <*>)...,3
feb52ee1,CallObjectMethod <*>,6
8f0c2efc,cellid has changed,10
b35956d8,out_set_parameters: enter: usecase(<*>: low-latency-playback) kvpairs: routing=<*>,5
0dac4754,"c: true, w: <*> t: false, l: false",184
b4f7e619,showNotificationAll,91
23051d9f,[PhoneIntfMgr] getDataEnabled: subId=<*> <*>,57
9361d325,"apply hwPhoneState.mSubId:<*> anyMobileVisible:false mIsAirplaneMode:false, mobileGroupVisible=true",236
a797a27a,Get no-perm notification callback <*>,11
00c4aab7,DisplayPowerStatesetScreenState: state=<*>,7
f15ac362,iqiyi message: failed to open <*>,9
6b0b29a4,<*> mPermissionType:<*>,610
370498a7,Calling <*>,222
e33b2d0c,"[INFO:CONSOLE(<*>)] ""Uncaught ReferenceError: WebViewJavascriptBridge is not defined"", source:  (<*>)",221
f4cc530d,"cleanUpApplicationRecordLocked, reset pid: <*>, euid: <*>",20
db287b75,KGSvcFp <*>,14
a6b9ef39,isMusicActive...,37
dede275d,<*> <*>,942
6e0e5f14,"is3GCalling is false,mCdmaSlot is -<*>",236
b0fb9415,Received TIME_TICK alarm; rescheduling,13
02c4d19b,Create obj success use class <*>,309
a7dcc523,onShowStatusChange show:false,78
08e3e569,updateSignalStrength: signalStrength=SignalStrength: -<*> <*> -<*> <*> -<*> <*> -<*> <*> <*> <*> -<*> -<*> <*> <*> <*> false gw|lte,90
d80ccfe4,wlan0: Event <*> (<*>) received,7
a20cc1e2,"sub =<*>,strMccMnc =null,hashMccMnc =[],strPlmn <*>",718
7707ffe6,Start pausing: ActivityRecord{<*> u0 <*> <*>,14
942f09c2,"updateLightsLocked,turn off notificationLight",14
036c5ccc,AutoStartupDataMgr:retrieveStartupSettings type <*> of <*> is <*>,42
9b28983b,<*> is null,3
42a0eda7,iqiyi message: ==== do something  executeCmd isProcessExist true =====,13
63b7eff9,"<*> <*> <*> <*> = <*>, <*> = <*>",66
d9ccac95,"formatChinaDateTime, change to China <*>",54
87ad48a0,set(PendingIntent{<*>: PendingIntentRecord{<*> <*> <*> : type=<*> triggerAtTime=<*> win=<*> tElapsed=<*> maxElapsed=<*> interval=<*> flags=<*>,52
ef430a5e,Broadcasting intent ACTION_RAC_CHANGED,34
86c61981,<*> finish,120
a8b2cf2b,<*>()<-<*>> : <*>,251
d4b8d889,"presently, hw_update_color_temp_for_rg_led interface not achieved.",289
f96ce7bc,disableEffects=null canInterrupt=false once update: false,54
78791997,shouldBlockLocation running ...,164
43278423,ACTIVITY check resid: <*> size=<*>,13
