LineId,Date,Time,Pid,Tid,Level,Component,Content,EventId,EventTemplate,ParameterList
1,12-18,17:36:28.393,1795,2380,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x0,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=true,manual=33,auto=-1,adj=0.0userId=0",2bd0bdb0,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=true,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>","['3', '1', '0x0', '0x1', '33', '1', '0', '0']"
2,12-18,18:23:51.858,19907,20159,I,memcheck,"needTrimMemory: trimFrom = 0, avail = 916928, vmSize = 2203336, vssLimit = 4190896, totalPss = 82848, pssLimit = 2876772, agressiveGrowthLimit = 1150708, gentleGrowthLimit = 2013740, availablePmThreshold = 221184, availableVmThreshold = 153600",630b3db0,"needTrimMemory: trimFrom = <*>, avail = <*>, vmSize = <*>, vssLimit = <*>, totalPss = <*>, pssLimit = <*>, agressiveGrowthLimit = <*>, gentleGrowthLimit = <*>, availablePmThreshold = <*>, availableVmThreshold = <*>","['0', '916928', '2203336', '4190896', '82848', '2876772', '1150708', '2013740', '221184', '153600']"
3,12-18,07:15:27.033,25067,25067,I,BetaClub,[StoreProgressUtils.startUploadPollingTask],4469aaf2,[StoreProgressUtils.startUploadPollingTask],[]
4,12-18,00:11:22.515,802,802,E,Thermal-daemon,"[Thermal_Hw] temperature_valid, battery : temperature is invalid, invalid temperatrue is 27",76e26663,"[Thermal_Hw] temperature_valid, battery : temperature is invalid, invalid temperatrue is <*>",['27']
5,12-18,08:38:00.011,2852,2852,D,KeyguardViewMediator,handleHide,dc4e9f87,handleHide,[]
6,12-17,22:28:49.222,606,2379,E,libteec ,receive data len = 128,c7d11cb0,<*> <*> <*> = <*>,"['receive', 'data len', '128']"
7,12-17,23:29:49.384,1046,1125,V,msm8916_platform,platform_get_output_snd_device: enter: output devices(0x2),54eb3738,platform_get_output_snd_device: enter: output devices(<*>),['0x2']
8,12-17,23:52:40.635,1795,1805,D,PowerManagerService,"Releasing suspend blocker ""PowerManagerService.WakeLocks"".",ea3cf8e4,<*> suspend blocker <*>,"['Releasing', '""PowerManagerService.WakeLocks"".']"
9,12-18,14:12:35.137,5157,5157,I,chromium,"[INFO:CONSOLE(1)] ""Uncaught ReferenceError: WebViewJavascriptBridge is not defined"", source:  (1)",e33b2d0c,"[INFO:CONSOLE(<*>)] ""Uncaught ReferenceError: WebViewJavascriptBridge is not defined"", source:  (<*>)","['1', '1']"
10,12-17,23:32:51.024,633,12261,I,SDK     ,<2016-12-17 23:32:51> [NOTICE] SDK: UE-SeC 2016-12-17 23:32:51:24 Level[NOTICE] magic[2309794080 2487]:FSM_OpenFile => [END],52f0846c,<<*><*><*> <*>:<*>:<*>> <*> SDK: UE-SeC <*><*><*> <*>:<*>:<*>:<*> <*> magic[<*> <*> <*> <*>,"['', '<2016-12-17 23', '32:51', '[NOTICE]', '', '2016-12-17 23', '32', '51:24 Level[NOTICE]', '2309794080', '2487]:FSM_OpenFile => [END]']"
11,12-18,17:48:03.533,1795,3139,I,ActivityManager_broadcast,"collectReceiverComponents, callerApp: ProcessRecord{7010a89 18903:com.sankuai.meituan/u0a146}, intent:com.dianping.action.PUSH_START, receiver size:1, flags: 10000400",1bfa58a5,"collectReceiverComponents, callerApp: ProcessRecord{<*> <*> <*> receiver size:<*>, flags: <*>","['7010a89', '18903:com.sankuai.meituan/u0a146}, intent:com.dianping.action.PUSH_START,', '1', '10000400']"
12,12-18,19:50:05.944,606,26232,D,QSEECOMAPI,App is not loaded in QSEE,5cf06ac5,App is not loaded in QSEE,[]
13,12-17,23:49:18.613,2852,2852,I,HwSignalClusterView,"apply hwPhoneState.mSubId:0 anyMobileVisible:false mIsAirplaneMode:false, mobileGroupVisible=true",9361d325,"apply hwPhoneState.mSubId:<*> anyMobileVisible:false mIsAirplaneMode:false, mobileGroupVisible=true",['0']
14,12-18,13:29:16.141,3626,3626,E,PTM.FileNodeInfo,"getTempInfo error: null, 0",4de3e872,"getTempInfo error: null, <*>",['0']
15,12-17,19:35:00.205,2852,2852,I,StatusBar,removeNotificationViews:0|com.tencent.mm|4097|null|10105,76f2362d,removeNotificationViews:<*>|<*>|<*>|null|<*>,"['0', 'com.tencent.mm|4097', '10105']"
16,12-18,19:50:25.012,2852,2852,I,StatusBarIconView,updateTint: tint=0,04bbd147,updateTint: tint=<*>,['0']
17,12-18,15:36:37.616,12127,12245,D,TelephonyManager,getNeighboringCellInfo calling app is com.sankuai.meituan,345a3ac3,<*> <*> <*> is <*>,"['getNeighboringCellInfo', 'calling app', 'com.sankuai.meituan']"
