EventId,EventTemplate,Occurrences
bf4968ec,proxyBroadcast:[<*>] <*>,21
87ad48a0,set(PendingIntent{<*>: PendingIntentRecord{<*> <*> <*> : type=<*> triggerAtTime=<*> win=<*> tElapsed=<*> maxElapsed=<*> interval=<*> flags=<*>,110
29de50f6,"ready=false,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=true,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>",154
2bd0bdb0,"ready=true,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=true,manual=<*>,auto=-<*>,adj=<*>.0userId=<*>",1922
186687fa,setMobileDataIndicatorsHuawei subId:<*> visible:true strengthIcon:<*> typeIcon:<*> <*> <*> <*> <*> <*> <*> isRoaming:false,480
a6b9ef39,isMusicActive...,97
f1500e09,"transitionTo:mode=<*>, <*>",77
d7497a9b,at <*>,1375
765af2cc,QSEECom_send_cmd return!,202
342fdb81,"onBatteryLevelChanged: level=<*>, <*> <*> PercentColor=-<*>",13
f96ce7bc,disableEffects=null canInterrupt=false once update: false,165
1858c5f2,<*><*> <*>:<*>:<*><浏览器>[<*>]:[query]读取浏览器历史,16
370498a7,Calling <*>,443
18e04965,received cell-signal:<*>,373
a3af36d4,"retrieveServiceLocked, callerApp: ProcessRecord{<*> <*> flags: <*>",170
10b8c696,[Thread<*><*>]initTopActivityList.(hwouc<*>.java:<*>),2
2701f85c,isCurrentBySim()=false,1374
41d83d71,Client requesting input be <*> <*>,323
5f2c0349,Error reading charge file,187
c7d11cb0,<*> <*> <*> = <*>,1489
71540b5f,readRilMessage: Buffer = [B@<*> HexData = [<*>],139
214ee144,<*> compensate: cache <*>,343
a69523ee,enqueueNotificationInternal: n.getKey = <*>|<*>|<*>|null|<*>,140
2447cdaa,<*> - <*> <*> = null,10
00a774dd,RetryTaskController:Screen is off or Network is unable,5
baea943a,<*> temp_new :<*> temp_old :<*>,52
cff1c62f,onChange selfChange:false uri.toString():content:/<*> mIsObserveAutoBrightnessChange:true,108
20f3ad39,"<*> activity client record, r= ActivityRecord{<*> token=<*>@<*> <*> token= <*>@<*>",17
c887912c,"<*> lock=<*>, flags=<*>, <*> <*> <*> uid=<*>, pid=<*>",510
7fcee125,<*> is <*> is <*>,511
4de3e872,"getTempInfo error: null, <*>",1162
397a8bc0,DisplayPowerState <*>,17
8f29116c,<*> -> <*>,105
06327cf8,updateNotificationShade,372
412cb58c,getOrInflateState subId:<*>,995
dede275d,<*> <*>,1683
65d64fd5,dispatch ordered broadcast <*> BroadcastRecord{<*> <*> <*> has <*> receivers,265
666922d4,<*> exit: status(<*>),6
7c5af11b,Cannot call determinedVisibility() - never saw a connection for the pid: <*>,444
1f8c50db,csr,366
c9d331ba,wlan0: Control interface command 'GET_NETWORK <*> <*>,70
16420411,Systrace:: buffer is full and will reset.,18
5881aa26,<*> caller <*> does not hold REAL_GET_TASKS; limiting output,696
bdcf048a,"onUEvent fcpStatus = <*>,scpStatus =<*>,ovpStatus=<*>",200
ff2248b9,"sending:{""handlerName"":""getRegisteredJsHandler"",""callbackId"":""java_cb_1"",""data"":null}",419
386684f0,<*> running ...,296
4356c629,<*>()<-<*>> : <*> <*> <*>,175
8b937606,"QUIPC provider state = <*>, QUIPC selected to run = <*>, QUIPC onoff_cnt = <*>,",3
7c8d9f9a,applyIconTint ignore,81
3c00c274,random_mix_pool - hexdump(len=<*>): [REMOVED],63
e33b2d0c,"[INFO:CONSOLE(<*>)] ""Uncaught ReferenceError: WebViewJavascriptBridge is not defined"", source:  (<*>)",405
092d8045,retrieve service Intent { <*> } U=<*>: ret null,3
e6b8d98f,no controller energy info supplied,53
fd11b9b3,<*> tethering: false,21
3512a488,<*> <*> <*> <*> <*>|<*>|<*>|null|<*>,120
4df8db29,"onTorchStatusChangedLocked: Torch status changed for cameraId=<*>, newStatus=<*>",1
933e6ed3,<*> = false,117
0dac4754,"c: true, w: <*> t: false, l: false",401
b0536e14,<*> <*> : <*>,153
b29d6ea3,<<*><*><*> <*>:<*>:<*>> <*> SDK: UE-SeC <*><*><*> <*>:<*>:<*>:<*> <*> magic[<*> <*> <*> <*> <*> <*> <*> <*> <*>,2130
694cb8ab,BtChrDataBaseManager:queryChrStatRcd rawCnt=<*>,1
d040c7f0,at <*>(Native Method),207
b1ffc7b2,Split enqueueing broadcast [callerApp]:ProcessRecord{<*> <*>,442
