EventId,EventTemplate,Occurrences
a43e73fc,new date <*> <*>,2836
93067dc4,onStandStepChanged <*>,11858
2582008e,<*> <*> 0 4,8861
252628f5,onReceive action: <*>,1349
e0a83abb,getTodayTotalDetailSteps = <*>,10858
b0190ab5,processHandleBroadcastAction <*>,3439
9300ea38,calculateCaloriesWithCache <*>,10878
5fed72bf,getBinderPackageName packageName = com.huawei.health,1262
cbcd504a,calculateAltitudeWithCache <*>,10657
bc6f87e2,setTodayTotalDetailSteps=1514643480000##7356##1498060##84671##106890##85393143,1
5cdf7db4,REPORT : <*> <*> <*> <*>,1550
3e662616,<*> <*> 0 <*>,6453
34a13b3f,setTodayTotalDetailSteps=1514702880000##7427##40168##31610##10265##17013944,1
fd44932f,setTodayTotalDetailSteps=1514643720000##7774##1524976##84671##106890##85619804,1
960958ed,startListenerChange subscribeList = [1],291
959470fb,"<*> the <*> switch is open, start push <*> data!",629
9a8ee335,setTodayTotalDetailSteps=1514162160000##332##769067##45591##57350##61475539,1
8b24b6c8,REPORT : <*> <*> <*> 0,1348
1b3c91ea,setTodayTotalDetailSteps=1514851920000##2244##187160##31610##26503##166044499,1
71cdc7dd,setTodayTotalDetailSteps=1514847540000##767##163807##31610##19177##161656109,1
0ce98313,<*> <*> <*> <*>,343
494f89d4,setTodayTotalDetailSteps=1514850780000##1101##170419##31610##26503##164907052,1
03ad9ffb,setTodayTotalDetailSteps=1514437980000##3442##1172326##77229##73641##209890851,1
2ebd4dc2,"saveStatData() type <*> = <*> = 2,who is 1",466
fbdae33a,setTodayTotalDetailSteps=1514644140000##8591##1581965##84671##106890##86048919,1
b26107b2,"startSync hiSyncOption = <*> syncMethod=2, syncScope=0, syncDataType=20000, syncModel=2, pushAction=0},app = 1 who = 1",312
a1aa3a25,REPORT : <*> <*> <*> 180,285
d35b3c81,<*> the <*> is true,626
b8f897f8,flush sensor data,638
e4209c49,setTodayTotalDetailSteps=1514725980000##11550##92632##31610##18631##40126364,1
de08fbc4,setTodayTotalDetailSteps=1514373120000##5679##1088725##77229##72294##145027579,1
347f4f0b,setTodayTotalDetailSteps=1514334600000##133##1074455##77229##71899##106508382,1
6b450aed,setTodayTotalDetailSteps=1514679960000##916##9552##0##0##121866912,1
034409f5,insertHiHealthData() end totalTime = <*>,303
c145f72f,REPORT : <*> <*> <*> 390,97
c0df8ce6,checkInsertStatus <*> or <*> is enough,577
f5df7a00,<*> success,220
c8206319,REPORT : <*> <*> <*> 60,699
2c4eecd0,<*> checkAppType 0 appID = 1,292
de59638b,setTodayTotalDetailSteps=1514525640000##2741##1294705##83501##100712##297543323,1
385c0af0,setTodayTotalDetailSteps=1514531040000##2770##1294876##83501##100712##302940322,1
a1e653fe,REPORT : <*> <*> <*> 90,888
26f52afb,setTodayTotalDetailSteps=1514125800000##16370##759159##31825##54384##25149549,1
bf9a9b33,setTodayTotalDetailSteps=1514375520000##5923##1095688##77229##72294##147433886,1
2bbd7150,setTodayTotalDetailSteps=1514125440000##15683##747352##31825##40486##24785554,1
a71c94ed,setTodayTotalDetailSteps=1514627460000##4751##1409969##84671##102904##69341638,1
87284585,setTodayTotalDetailSteps=1514685540000##3159##10722##14664##1987##127472300,1
b3d6ad7f,flush2DB result success,171
f034e86a,"startInsertSportSync first 500 steps sync,do all sync",286
365967a9,REPORT : <*> <*> <*> 240,117
3f605027,REPORT : <*> <*> <*> 120,185
8764d489,sendSyncFailedBroadcast,286
824b3d7b,"getAppContext() isAppValid health or wear, packageName = com.huawei.health",315
540df4b1,"checkFirstSyncByType no such data in db ,type is 1 deviceCode is 0",252
3996af7c,upLoadOneMinuteDataToEngine <*>,756
5c7637ce,timeStamp <*>,248
601c2004,InsertEvent success <*> <*>,172
4b0a7854,setTodayTotalDetailSteps=1514720700000##10111##56041##31610##10363##34858011,1
9a270af2,setTodayTotalDetailSteps=1514261820000##2099##984042##77229##62451##33719452,1
3f9b4da2,ifCanSync not! no cloud version,324
c5296676,setTodayTotalDetailSteps=1514639100000##6967##1479908##84671##106890##81030921,1
