EventId,EventTemplate,Occurrences
d207b4f5,PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>  user=root,239
b542638e,message repeated <*> times: [ Failed password for root from <*> port <*> ssh2],304
9302fad4,Invalid user <*> from <*>,129
f831cb6d,Failed password for <*> from <*> port <*> ssh2,1080
ea4aa83d,Disconnecting: Too many authentication failures for root [preauth],290
e2315f39,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,126
b449c4e9,reverse mapping checking getaddrinfo for <*>.<*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!,47
c5704dd9,Received disconnect from <*>: 11: Bye Bye [preauth],375
2dd88708,PAM service(sshd) ignoring max retries; 6 > 3,287
2491ca3e,Connection closed by <*> [preauth],506
f7fe7f88,reverse mapping checking getaddrinfo for <*> [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!,27
75aa868a,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>  user=root,1032
0849a7d0,pam_unix(sshd:auth): check pass; user unknown,162
ca409192,Failed <*> for invalid user <*> from <*> port <*> ssh2,148
e2e22af4,Received disconnect from <*>: 11: Closed due to user request. [preauth],4
6b674ff1,input_userauth_request: invalid user <*> [preauth],118
5441775c,reverse mapping checking getaddrinfo for . [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!,57
d7242a1b,error: Received disconnect from <*>: 14: No more user authentication methods available. [preauth],6
1048a82a,PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,8
3e662e18,PAM service(sshd) ignoring max retries; 5 > 3,10
92ffcac4,Disconnecting: Too many authentication failures for admin [preauth],4
0c7b42d8,"Address <*> maps to <*>, but this does not map back to the address - POSSIBLE BREAK-IN ATTEMPT!",3
a998e480,fatal: Read from socket failed: Connection reset by peer [preauth],6
73f7593b,PAM 4 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>  user=root,3
7937f351,PAM 1 more authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>  user=root,1
d72fd2a1,PAM 4 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,2
517c9c6f,PAM 2 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>  user=root,5
3a82a99b,Received disconnect from <*>: 11: Client disconnecting normally [preauth],2
43979032,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>  user=git,1
c926c7d9,Did not receive identification string from <*>,6
caa7cd9d,reverse mapping checking getaddrinfo for lvhqgeek.com-1486436562555-512mb-fra1-01 [<*>] failed - POSSIBLE BREAK-IN ATTEMPT!,3
3a7285d3,error: Received disconnect from <*>: 3: <*>: Auth fail [preauth],1
5fa30d4a,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>  user=mysql,1
8bb6393b,Received disconnect from <*>: 11: disconnect [preauth],1
62784b9d,"Received disconnect from <*>: 11: Normal Shutdown, Thank you for playing [preauth]",2
81dbc451,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>  user=ftp,3
62424e8d,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>  user=mail,1
