LineId,Month,Date,Time,User,Component,PID,Address,Content,EventId,EventTemplate,ParameterList
1,Jul,7,19:07:53,authorMacBook-Pro,kernel,0,,en0::IO80211Interface::postMessage bssid changed,b7a2d271,en0::IO80211Interface::postMessage bssid changed,[]
2,Jul,6,14:15:59,authorMacBook-Pro,corecaptured,37027,,"CCFile::captureLog Received Capture notice id: 1499375759.513226, reason = AuthFail:sts:5_rsn:0",60a574ff,CCFile::captureLog Received Capture notice id: <*> reason = <*>,"['1499375759.513226,', 'AuthFail:sts:5_rsn:0']"
3,Jul,5,14:04:19,authorMacBook-Pro,corecaptured,36034,,"CCFile::captureLogRun Skipping current file Dir file [2017-07-05_14,04,19.355953]-CCIOReporter-026.xml, Current File [2017-07-05_14,04,19.355953]-CCIOReporter-026.xml",f1885a0f,CCFile::captureLogRun Skipping current file Dir file <*> Current File <*>,"['[2017-07-05_14,04,19.355953]-CCIOReporter-026.xml,', '[2017-07-05_14,04,19.355953]-CCIOReporter-026.xml']"
4,Jul,2,18:06:47,calvisitor-10-105-163-202,QQ,10018,,2017/07/02 18:06:47.008 | I | VoipWrapper  | DAVEngineImpl.cpp:1400:Close             | close video chat. llFriendUIN = 535204893.,e3d70e64,<*> <*> | I | VoipWrapper | DAVEngineImpl.cpp:1400:Close | close video chat. llFriendUIN = <*>,[]
5,Jul,1,11:51:07,authorMacBook-Pro,kernel,0,,AirPort: Link Up on en0,de1b8e5e,AirPort: Link Up on <*>,['en0']
6,Jul,1,09:43:33,calvisitor-10-105-160-95,kernel,0,,ARPT: 621636.050702: wl0: MDNS: IPV4 Addr: 10.105.160.95,703d433b,ARPT: <*> wl0: <*> <*> <*> <*>,"['621636.050702:', 'MDNS:', 'IPV4 Addr: 10.105.160.95']"
7,Jul,4,00:22:43,airbears2-10-142-110-255,kernel,0,,Sandbox: com.apple.Addres(34145) deny(1) network-outbound /private/var/run/mDNSResponder,bb15d06c,Sandbox: <*> deny(1) <*> <*>,"['com.apple.Addres(34145)', 'network-outbound /private/var/run/mDNSResponder']"
8,Jul,4,12:34:55,calvisitor-10-105-162-105,kernel,0,,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,fea8a7f7,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = <*> unplug = 0,"['<0>', '11']"
9,Jul,7,16:05:37,calvisitor-10-105-161-77,kernel,0,,ARPT: 771674.593005: AirPort_Brcm43xx::platformWoWEnable: WWEN[enable],01660cbd,ARPT: <*> AirPort_Brcm43xx::platformWoWEnable: <*>,"['771674.593005:', 'WWEN[enable]']"
10,Jul,6,09:07:00,calvisitor-10-105-163-253,WindowServer,184,,send_datagram_available_ping: pid 445 failed to act on a ping it dequeued before timing out.,ca501184,send_datagram_available_ping: pid 445 failed to act on a ping it dequeued before timing out.,[]
11,Jul,1,23:19:38,calvisitor-10-105-163-202,kernel,0,,"ARPT: 640359.593010: wl0: setup_keepalive: Local port: 52308, Remote port: 443",a91f5e42,ARPT: <*> wl0: setup_keepalive: Local port: <*> Remote port: <*>,"['640359.593010:', '52308,', '443']"
12,Jul,5,14:04:33,authorMacBook-Pro,corecaptured,36034,,CCFile::captureLog,4a019d20,CCFile::captureLog,[]
13,Jul,6,12:02:58,authorMacBook-Pro,kernel,0,,ARPT: 739239.970032: wlc_dump_aggfifo:,9cf261a8,ARPT: <*> wlc_dump_aggfifo:,['739239.970032:']
14,Jul,4,09:01:47,authorMacBook-Pro,kernel,0,,AppleCamIn::handleWakeEvent_gated,5d3b8c8e,AppleCamIn::handleWakeEvent_gated,[]
15,Jul,2,18:40:37,calvisitor-10-105-163-202,sandboxd,129,[32655],com.apple.Addres(32655) deny network-outbound /private/var/run/mDNSResponder,19147422,<*> deny network-outbound /private/var/run/mDNSResponder,['com.apple.Addres(32655)']
16,Jul,4,10:09:03,authorMacBook-Pro,kernel,0,,en0: 802.11d country code set to 'X3'.,7437a69c,en0: 802.11d country code set to <*>,"[""'X3'.""]"
17,Jul,1,23:32:34,calvisitor-10-105-163-202,kernel,0,,AirPort: Link Up on awdl0,de1b8e5e,AirPort: Link Up on <*>,['awdl0']
18,Jul,6,13:39:08,calvisitor-10-105-162-178,kernel,0,,Wake reason: RTC (Alarm),879f9d34,Wake reason: <*> <*>,['RTC (Alarm)']
19,Jul,3,12:31:17,authorMacBook-Pro,kernel,0,,AppleCamIn::systemWakeCall - messageType = 0xE0000320,13635c18,<*> - <*> = <*>,"['AppleCamIn::systemWakeCall', 'messageType', '0xE0000320']"
20,Jul,3,17:10:11,calvisitor-10-105-160-184,kernel,0,,"bitmap_size 0x7f0fc, previewSize 0x4028, writing 455779 pages @ 0x97144",e3190f64,"bitmap_size 0x7f0fc, previewSize 0x4028, writing 455779 pages @ 0x97144",[]
21,Jul,3,13:38:43,calvisitor-10-105-160-237,com.apple.xpc.launchd,1,com.apple.xpc.launchd.domain.pid.WebContent.33435,"Path not allowed in target domain: type = pid, path = /System/Library/StagedFrameworks/Safari/SafariShared.framework/Versions/A/XPCServices/com.apple.Safari.WebFeedParser.xpc/Contents/MacOS/com.apple.Safari.WebFeedParser error = 147: The specified service did not ship in the requestor's bundle, origin = /System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc",b9b132a2,"Path not allowed in target domain: type = pid, path = /System/Library/StagedFrameworks/Safari/SafariShared.framework/Versions/A/XPCServices/<*>/Contents/MacOS/<*> error = 147: The specified service did not ship in the requestor's bundle, origin = /System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/<*>","['com.apple.Safari.WebFeedParser.xpc', 'com.apple.Safari.WebFeedParser', 'com.apple.WebKit.WebContent.xpc']"
22,Jul,5,14:04:16,authorMacBook-Pro,corecaptured,36034,,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7,2fe4ad5c,CCIOReporterFormatter::addRegistryChildToChannelDictionary streams 7,[]
23,Jul,5,00:28:39,authorMacBook-Pro,com.apple.WebKit.WebContent,35671,,[00:28:39.799] (Fig) signalled err=-1001,a2f00a21,<*> (Fig) signalled <*>,"['[00:28:39.799]', 'err=-1001']"
24,Jul,3,17:10:11,calvisitor-10-105-160-184,kernel,0,,"ARPT: 683262.088863: wl0: wl_update_tcpkeep_seq: Original Seq: 2126531616, Ack: 682450226, Win size: 4096",13c2a597,ARPT: <*> wl0: wl_update_tcpkeep_seq: Original Seq: <*> Ack: <*> Win size: 4096,"['683262.088863:', '2126531616,', '682450226,']"
25,Jul,1,14:28:27,calvisitor-10-105-160-95,kernel,0,,"en0: channel changed to 132,+1",ecd68958,en0: <*> changed to <*>,"['channel', '132,+1']"
26,Jul,6,12:02:25,authorMacBook-Pro,netbiosd,36924,,"network_reachability_changed : network is not reachable, netbiosd is shutting down",8274cb77,"network_reachability_changed : network is not reachable, netbiosd is shutting down",[]
27,Jul,4,06:03:30,authorMacBook-Pro,kernel,0,,en0: channel changed to 1,ecd68958,en0: <*> changed to <*>,"['channel', '1']"
28,Jul,3,18:57:57,authorMacBook-Pro,QQ,10018,,tcp_connection_handle_connect_conditions_bad 21303 failed: 3 - No network route,54c05f44,tcp_connection_handle_connect_conditions_bad <*> failed: 3 - No network route,['21303']
29,Jul,2,20:22:06,calvisitor-10-105-163-202,sharingd,30299,,20:22:06.439 : BTLE scanner Powered On,b4bf6097,<*> : BTLE scanner Powered <*>,"['20:22:06.439', 'On']"
30,Jul,5,17:15:52,airbears2-10-142-108-38,corecaptured,36224,,CCFile::captureLogRun() Exiting CCFile::captureLogRun,2d0d617f,CCFile::captureLogRun() Exiting CCFile::captureLogRun,[]
31,Jul,8,05:34:37,authorMacBook-Pro,networkd,195,,-[NETClientConnection effectiveBundleID] using process name apsd as bundle ID (this is expected for daemons without bundle ID,9a054d77,-[NETClientConnection effectiveBundleID] using process name <*> as bundle ID (this is expected for daemons without bundle ID,['apsd']
32,Jul,6,12:00:22,calvisitor-10-105-162-178,AddressBookSourceSync,36916,,"[CardDAVPlugin-ERROR] -getPrincipalInfo:[_controller supportsRequestCompressionAtURL:https://xpc_ben%40163.com@contacts.163.com/principals/users/558548ec28fbd965ade28995b355b70d/] Error Domain=NSURLErrorDomain Code=-1001 ""The request timed out."" UserInfo={NSUnderlyingError=0x7fe2bb671620 {Error Domain=kCFErrorDomainCFNetwork Code=-1001 ""The request timed out."" UserInfo={NSErrorFailingURLStringKey=https://xpc_ben%40163.com@contacts.163.com/principals/users/558548ec28fbd965ade28995b355b70d/, NSErrorFailingURLKey=https://xpc_ben%40163.com@contacts.163.com/principals/users/558548ec28fbd965ade28995b355b70d/, _kCFStreamErrorCodeKey=-2102, _kCFStreamErrorDomainKey=4, NSLocalizedDescription=The request timed out.}}, NSErrorFailingURLStringKey=https://xpc_ben%40163.com@contacts.163.com/principals/users/558548ec28fbd965ade28995b355b70d/, NSErrorFailingURLKey=https://xpc_ben%40163.com@contacts.163.com/principals/users/558548ec28fbd965ade28995b355b70d/, _kCFStreamErrorDomainKey=4, _kCFStreamErrorCodeKey=-2102, NSLocalizedDescription=The request timed out.}",b9ada29c,"[CardDAVPlugin-ERROR] -getPrincipalInfo:[_controller supportsRequestCompressionAtURL:https://xpc_ben%40163.com@<*>/principals/users/558548ec28fbd965ade28995b355b70d/] Error Domain=NSURLErrorDomain Code=-1001 ""The request timed out."" UserInfo={NSUnderlyingError=0x7fe2bb671620 {Error Domain=kCFErrorDomainCFNetwork Code=-1001 ""The request timed out."" UserInfo={NSErrorFailingURLStringKey=https://xpc_ben%40163.com@<*>/principals/users/558548ec28fbd965ade28995b355b70d/, NSErrorFailingURLKey=https://xpc_ben%40163.com@<*>/principals/users/558548ec28fbd965ade28995b355b70d/, _kCFStreamErrorCodeKey=-2102, _kCFStreamErrorDomainKey=4, NSLocalizedDescription=The request timed out.}}, NSErrorFailingURLStringKey=https://xpc_ben%40163.com@<*>/principals/users/558548ec28fbd965ade28995b355b70d/, NSErrorFailingURLKey=https://xpc_ben%40163.com@<*>/principals/users/558548ec28fbd965ade28995b355b70d/, _kCFStreamErrorDomainKey=4, _kCFStreamErrorCodeKey=-2102, NSLocalizedDescription=The request timed out.}","['contacts.163.com', 'contacts.163.com', 'contacts.163.com', 'contacts.163.com', 'contacts.163.com']"
33,Jul,7,00:26:37,calvisitor-10-105-162-178,Preview,11512,,Unable to simultaneously satisfy constraints:,4cedf359,Unable to simultaneously satisfy constraints:,[]
34,Jul,4,23:39:18,calvisitor-10-105-162-105,WeChat,24144,,jemmytest,b55176d9,jemmytest,[]
35,Jul,8,00:58:14,calvisitor-10-105-160-47,kernel,0,,ARPT: 784388.461503: wl0: wl_update_tcpkeep_seq: mDNSOffloadUserClient::GetKeepaliveData failed,612f3a4f,ARPT: 784388.461503: wl0: wl_update_tcpkeep_seq: mDNSOffloadUserClient::GetKeepaliveData failed,[]
36,Jul,1,09:12:39,calvisitor-10-105-160-95,com.apple.CDScheduler,43,,Thermal pressure state: 0 Memory pressure state: 0,b7aaf5db,Thermal pressure state: <*> Memory pressure state: 0,['0']
37,Jul,8,05:52:00,calvisitor-10-105-162-124,BezelServices 255.10,94,,ASSERTION FAILED: dvcAddrRef != ((void *)0) -[DriverServices getDeviceAddress:] line: 2789,83801e0d,ASSERTION FAILED: dvcAddrRef != ((void *)0) -[DriverServices getDeviceAddress:] line: 2789,[]
38,Jul,3,15:47:24,calvisitor-10-105-160-237,kernel,0,,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from AUTO to SUSPENDED,6a6d7984,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from <*> to <*>,"['AUTO', 'SUSPENDED']"
39,Jul,4,09:42:32,calvisitor-10-105-162-105,kernel,0,,AppleCamIn::systemWakeCall - messageType = 0xE0000340,13635c18,<*> - <*> = <*>,"['AppleCamIn::systemWakeCall', 'messageType', '0xE0000340']"
40,Jul,3,19:46:35,authorMacBook-Pro,networkd,195,,-[NETClientConnection effectiveBundleID] using process name apsd as bundle ID (this is expected for daemons without bundle ID,9a054d77,-[NETClientConnection effectiveBundleID] using process name <*> as bundle ID (this is expected for daemons without bundle ID,['apsd']
41,Jul,5,15:26:36,calvisitor-10-105-162-98,kernel,0,,AppleThunderboltGenericHAL::earlyWake - complete - took 1 milliseconds,a5714044,AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds,['1']
42,Jul,4,18:07:25,calvisitor-10-105-162-105,com.apple.AddressBook.InternetAccountsBridge,35165,,dnssd_clientstub ConnectToServer: connect()-> No of tries: 3,fe0771c3,dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>,['3']
43,Jul,3,07:57:31,authorMacBook-Pro,kernel,0,,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = 11 unplug = 0,fea8a7f7,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = <*> unplug = 0,"['<0>', '11']"
44,Jul,3,20:57:09,calvisitor-10-105-161-225,iconservicesagent,328,,-[ISGenerateImageOp generateImageWithCompletion:] Failed to composit image for descriptor <ISBindingImageDescriptor: 0x7f99504113c0>.,b7844740,-[ISGenerateImageOp generateImageWithCompletion:] Failed to composit image for descriptor <ISBindingImageDescriptor: <*>,['0x7f99504113c0>.']
45,Jul,3,13:50:25,calvisitor-10-105-160-237,com.apple.AddressBook.InternetAccountsBridge,33460,,dnssd_clientstub ConnectToServer: connect()-> No of tries: 1,fe0771c3,dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>,['1']
46,Jul,4,06:25:49,calvisitor-10-105-162-105,com.apple.CDScheduler,43,,Thermal pressure state: 1 Memory pressure state: 0,b7aaf5db,Thermal pressure state: <*> Memory pressure state: 0,['1']
47,Jul,5,18:20:15,calvisitor-10-105-162-98,mds,63,,(DiskStore.Normal:2382) 4001 1.014334,f1b7493a,(DiskStore.Normal:2382) 4001 1.014334,[]
48,Jul,5,02:00:35,calvisitor-10-105-163-10,kernel,0,,en0: channel changed to 1,ecd68958,en0: <*> changed to <*>,"['channel', '1']"
49,Jul,3,19:04:57,authorMacBook-Pro,corecaptured,33660,,"CCFile::captureLogRun Skipping current file Dir file [2017-07-03_19,04,57.722196]-io80211Family-018.pcapng, Current File [2017-07-03_19,04,57.722196]-io80211Family-018.pcapng",f1885a0f,CCFile::captureLogRun Skipping current file Dir file <*> Current File <*>,"['[2017-07-03_19,04,57.722196]-io80211Family-018.pcapng,', '[2017-07-03_19,04,57.722196]-io80211Family-018.pcapng']"
50,Jul,6,14:09:31,authorMacBook-Pro,corecaptured,37027,,"CCFile::captureLogRun Skipping current file Dir file [2017-07-06_14,09,31.538767]-AirPortBrcm4360_Logs-003.txt, Current File [2017-07-06_14,09,31.538767]-AirPortBrcm4360_Logs-003.txt",f1885a0f,CCFile::captureLogRun Skipping current file Dir file <*> Current File <*>,"['[2017-07-06_14,09,31.538767]-AirPortBrcm4360_Logs-003.txt,', '[2017-07-06_14,09,31.538767]-AirPortBrcm4360_Logs-003.txt']"
51,Jul,4,23:34:53,calvisitor-10-105-162-105,WindowServer,184,,send_datagram_available_ping: pid 445 failed to act on a ping it dequeued before timing out.,ca501184,send_datagram_available_ping: pid 445 failed to act on a ping it dequeued before timing out.,[]
52,Jul,6,02:32:46,calvisitor-10-105-160-37,kernel,0,,Sandbox: com.apple.Addres(36491) deny(1) network-outbound /private/var/run/mDNSResponder,bb15d06c,Sandbox: <*> deny(1) <*> <*>,"['com.apple.Addres(36491)', 'network-outbound /private/var/run/mDNSResponder']"
53,Jul,3,12:24:33,authorMacBook-Pro,QQ,10018,,2017/07/03 12:24:33.369 | I | VoipWrapper  | DAVEngineImpl.cpp:1400:Close             | close video chat. llFriendUIN = 1742124257.,e3d70e64,<*> <*> | I | VoipWrapper | DAVEngineImpl.cpp:1400:Close | close video chat. llFriendUIN = <*>,[]
54,Jul,7,13:42:10,calvisitor-10-105-160-205,kernel,0,,ARPT: 770765.119841: wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.,99b87c94,ARPT: <*> wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.,['770765.119841:']
55,Jul,4,02:38:25,airbears2-10-142-110-255,kernel,0,,"ARPT: 698398.428254: wl0: setup_keepalive: interval 258, retry_interval 30, retry_count 10",a0672ef8,"ARPT: <*> wl0: setup_keepalive: interval <*> retry_interval 30, retry_count 10","['698398.428254:', '258,']"
56,Jul,5,17:25:06,authorMacBook-Pro,locationd,82,,"PBRequester failed with Error Error Domain=NSURLErrorDomain Code=-1009 ""The Internet connection appears to be offline."" UserInfo={NSUnderlyingError=0x7fb7ed025090 {Error Domain=kCFErrorDomainCFNetwork Code=-1009 ""The Internet connection appears to be offline."" UserInfo={NSErrorFailingURLStringKey=https://gs-loc.apple.com/clls/wloc, NSErrorFailingURLKey=https://gs-loc.apple.com/clls/wloc, _kCFStreamErrorCodeKey=8, _kCFStreamErrorDomainKey=12, NSLocalizedDescription=The Internet connection appears to be offline.}}, NSErrorFailingURLStringKey=https://gs-loc.apple.com/clls/wloc, NSErrorFailingURLKey=https://gs-loc.apple.com/clls/wloc, _kCFStreamErrorDomainKey=12, _kCFStreamErrorCodeKey=8, NSLocalizedDescription=The Internet connection appears to be offline.}",aad31e72,"PBRequester failed with Error Error Domain=NSURLErrorDomain Code=-1009 ""The Internet connection appears to be offline."" <*> {Error Domain=kCFErrorDomainCFNetwork Code=-1009 ""The Internet connection appears to be offline."" <*> <*> _kCFStreamErrorCodeKey=8, _kCFStreamErrorDomainKey=12, NSLocalizedDescription=The Internet connection appears to be offline.}}, <*> <*> _kCFStreamErrorDomainKey=12, _kCFStreamErrorCodeKey=8, NSLocalizedDescription=The Internet connection appears to be offline.}","['UserInfo={NSUnderlyingError=0x7fb7ed025090', 'UserInfo={NSErrorFailingURLStringKey=https://gs-loc.apple.com/clls/wloc, NSErrorFailingURLKey=https://gs-loc.apple.com/clls/wloc,', 'NSErrorFailingURLStringKey=https://gs-loc.apple.com/clls/wloc, NSErrorFailingURLKey=https://gs-loc.apple.com/clls/wloc,']"
57,Jul,7,02:01:04,calvisitor-10-105-162-178,com.apple.cts,43,,"com.apple.SoftwareUpdate.Activity: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for 1645 seconds.  Ignoring.",8c3389f0,"<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",[]
58,Jul,1,09:00:55,calvisitor-10-105-160-95,kernel,0,,en0::IO80211Interface::postMessage bssid changed,b7a2d271,en0::IO80211Interface::postMessage bssid changed,[]
59,Jul,1,09:31:43,calvisitor-10-105-160-95,kernel,0,,AppleThunderboltGenericHAL::earlyWake - complete - took 1 milliseconds,a5714044,AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds,['1']
60,Jul,3,16:07:32,calvisitor-10-105-160-237,kernel,0,,"en0: channel changed to 149,80",ecd68958,en0: <*> changed to <*>,"['channel', '149,80']"
61,Jul,4,23:22:09,calvisitor-10-105-162-105,Microsoft Word,14463,,Cocoa scripting error for '0x03eb0001': four character codes must be four characters long.,3a1142a3,Cocoa scripting error for <*> four character codes must be four characters long.,"[""'0x03eb0001':""]"
62,Jul,1,13:49:09,calvisitor-10-105-160-95,kernel,0,,en0: 802.11d country code set to 'X3'.,7437a69c,en0: 802.11d country code set to <*>,"[""'X3'.""]"
63,Jul,7,00:27:16,calvisitor-10-105-162-178,Preview,11512,,Unable to simultaneously satisfy constraints:,4cedf359,Unable to simultaneously satisfy constraints:,[]
64,Jul,8,07:27:18,calvisitor-10-105-162-124,sharingd,30299,,07:27:18.022 : BTLE scanning stopped,c98b00da,<*> : BTLE scanning <*>,"['07:27:18.022', 'stopped']"
65,Jul,6,13:25:30,calvisitor-10-105-162-178,kernel,0,,AppleCamIn::systemWakeCall - messageType = 0xE0000340,13635c18,<*> - <*> = <*>,"['AppleCamIn::systemWakeCall', 'messageType', '0xE0000340']"
66,Jul,4,19:42:40,calvisitor-10-105-162-105,kernel,0,,"RTC: Maintenance 2017/7/5 02:42:39, sleep 2017/7/5 02:30:18",2874a578,RTC: Maintenance <*> <*> sleep <*> <*>,"['2017/7/5 02:42:39,', '2017/7/5 02:30:18']"
67,Jul,2,15:56:35,calvisitor-10-105-163-202,WindowServer,184,,send_datagram_available_ping: pid 445 failed to act on a ping it dequeued before timing out.,ca501184,send_datagram_available_ping: pid 445 failed to act on a ping it dequeued before timing out.,[]
68,Jul,7,03:50:09,calvisitor-10-105-162-178,kernel,0,,"ARPT: 762482.257896: wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq 4271148221, Ack 2231793690, Win size 278",0753c14d,ARPT: <*> wl0: wl_update_tcpkeep_seq: Updated seq/ack/win from UserClient Seq <*> Ack <*> Win size <*>,"['762482.257896:', '4271148221,', '2231793690,', '278']"
69,Jul,4,02:49:45,airbears2-10-142-110-255,kernel,0,,AppleThunderboltNHIType2::prePCIWake - power up complete - took 2 us,04f0e432,AppleThunderboltNHIType2::prePCIWake - power up complete - took <*> us,['2']
70,Jul,3,23:12:41,airbears2-10-142-110-255,com.apple.WebKit.WebContent,32778,,[23:12:41.793] <<<< Boss >>>> figPlaybackBossPrerollCompleted: unexpected preroll-complete notification,d8cfefd6,<*> <<<< Boss >>>> figPlaybackBossPrerollCompleted: unexpected preroll-complete notification,['[23:12:41.793]']
71,Jul,3,00:15:58,authorMacBook-Pro,kernel,0,,[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: Host (0x01),6995a7cd,[HID] [ATC] AppleDeviceManagementHIDEventService::processWakeReason Wake reason: <*> <*>,['Host (0x01)']
72,Jul,6,19:04:07,calvisitor-10-105-162-178,kernel,0,,"USBMSC Identifier (non-unique): 000000000820 0x5ac 0x8406 0x820, 3",1bf3d457,"USBMSC Identifier (non-unique): 000000000820 0x5ac 0x8406 0x820, 3",[]
73,Jul,3,11:24:00,authorMacBook-Pro,com.apple.WebKit.WebContent,32778,,[11:24:00.633] <<<< Boss >>>> figPlaybackBossPrerollCompleted: unexpected preroll-complete notification,d8cfefd6,<*> <<<< Boss >>>> figPlaybackBossPrerollCompleted: unexpected preroll-complete notification,['[11:24:00.633]']
74,Jul,3,17:26:02,calvisitor-10-105-160-184,com.apple.WebKit.WebContent,32778,,[17:26:02.834] FigAgglomeratorSetObjectForKey signalled err=-16020 (kFigStringConformerError_ParamErr) (NULL key) at /Library/Caches/com.apple.xbs/Sources/CoreMedia/CoreMedia-1731.15.207/Prototypes/LegibleOutput/FigAgglomerator.c line 92,d9e7a914,<*> FigAgglomeratorSetObjectForKey signalled err=-16020 (kFigStringConformerError_ParamErr) (NULL key) at /Library/Caches/<*>/Sources/CoreMedia/<*>/Prototypes/LegibleOutput/FigAgglomerator.c line 92,"['[17:26:02.834]', 'com.apple.xbs', 'CoreMedia-1731.15.207']"
75,Jul,5,14:04:33,authorMacBook-Pro,corecaptured,36034,,CCFile::captureLog,4a019d20,CCFile::captureLog,[]
76,Jul,6,16:15:50,calvisitor-10-105-162-178,kernel,0,,AppleCamIn::systemWakeCall - messageType = 0xE0000340,13635c18,<*> - <*> = <*>,"['AppleCamIn::systemWakeCall', 'messageType', '0xE0000340']"
77,Jul,7,10:18:31,calvisitor-10-105-162-178,locationd,82,,"NETWORK: requery, 0, 0, 0, 0, 280, items, fQueryRetries, 0, fLastRetryTimestamp, 521137394.7",a12012c8,"NETWORK: requery, 0, 0, 0, 0, <*> items, fQueryRetries, <*> fLastRetryTimestamp, <*>","['280,', '0,', '521137394.7']"
78,Jul,4,13:29:28,calvisitor-10-105-162-105,kernel,0,,"ARPT: 702473.791647: wl0: wl_update_tcpkeep_seq: Original Seq: 4092235630, Ack: 1794703587, Win size: 4096",13c2a597,ARPT: <*> wl0: wl_update_tcpkeep_seq: Original Seq: <*> Ack: <*> Win size: 4096,"['702473.791647:', '4092235630,', '1794703587,']"
79,Jul,2,18:09:29,calvisitor-10-105-163-202,corecaptured,32608,,"CCFile::captureLogRun Skipping current file Dir file [2017-07-02_18,09,29.643060]-AirPortBrcm4360_Logs-003.txt, Current File [2017-07-02_18,09,29.643060]-AirPortBrcm4360_Logs-003.txt",f1885a0f,CCFile::captureLogRun Skipping current file Dir file <*> Current File <*>,"['[2017-07-02_18,09,29.643060]-AirPortBrcm4360_Logs-003.txt,', '[2017-07-02_18,09,29.643060]-AirPortBrcm4360_Logs-003.txt']"
80,Jul,3,17:23:55,calvisitor-10-105-160-184,kernel,0,,AppleCamIn::wakeEventHandlerThread,016decae,AppleCamIn::wakeEventHandlerThread,[]
81,Jul,4,03:50:58,airbears2-10-142-110-255,com.apple.SecurityServer,80,,Session 101835 destroyed,941e57f4,Session 101835 destroyed,[]
82,Jul,3,18:57:59,authorMacBook-Pro,kernel,0,,en0::IO80211Interface::postMessage bssid changed,b7a2d271,en0::IO80211Interface::postMessage bssid changed,[]
83,Jul,1,22:08:46,calvisitor-10-105-163-202,WindowServer,184,,"device_generate_lock_screen_screenshot: authw 0x7fa823c89600(2000)[0, 0, 1440, 900] shield 0x7fa8258cac00(2001), dev [1440,900]",5d93f388,"device_generate_lock_screen_screenshot: authw <*> 0, <*> <*> shield <*> dev [1440,900]","['0x7fa823c89600(2000)[0,', '1440, 900]', '0x7fa8258cac00(2001),']"
