LineId,Time,Component,Pid,Content,EventId,EventTemplate,ParameterList
1,201813-9:8:28:298,HiH_DataStatManager,30002312,"new date =20180103, type=40042,180.0,old=180.0",a43e73fc,new date <*> <*>,"['=20180103, type=40042,180.0,old=180.0']"
2,20171227-17:21:42:375,Step_StandStepCounter,30002312,flush sensor data,b8f897f8,flush sensor data,[]
3,201812-11:24:19:653,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=161954,9300ea38,calculateCaloriesWithCache <*>,['totalCalories=161954']
4,20171227-20:27:16:189,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514377560000##6491##1115213##77229##72294##149441121,1f88159c,setTodayTotalDetailSteps=1514377560000##6491##1115213##77229##72294##149441121,[]
5,20171231-10:48:57:952,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514688420000##4611##21484##31610##8911##2581619,2c27f61a,setTodayTotalDetailSteps=1514688420000##4611##21484##31610##8911##2581619,[]
6,201812-15:52:21:939,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=382158,9300ea38,calculateCaloriesWithCache <*>,['totalCalories=382158']
7,20171229-12:24:21:675,Step_LSC,30002312,onStandStepChanged 20215,93067dc4,onStandStepChanged <*>,['20215']
8,201812-14:21:0:127,Step_LSC,30002312,processHandleBroadcastAction action:android.intent.action.TIME_TICK,b0190ab5,processHandleBroadcastAction <*>,['action:android.intent.action.TIME_TICK']
9,201812-6:12:53:202,Step_StandReportReceiver,30002312,onReceive action: android.intent.action.SCREEN_OFF,252628f5,onReceive action: <*>,['android.intent.action.SCREEN_OFF']
10,20171230-12:14:7:582,Step_LSC,30002312,onStandStepChanged 1667,93067dc4,onStandStepChanged <*>,['1667']
11,20171225-22:35:46:204,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=510,cbcd504a,calculateAltitudeWithCache <*>,['totalAltitude=510']
12,20171230-17:46:6:914,Step_LSC,30002312,onExtend:1514627167000 1 0 4,0ce98313,<*> <*> <*> <*>,"['onExtend:1514627167000', '1 0 4']"
13,20171230-17:51:57:699,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514627400000##4743##1409121##84671##102904##69337642,466fc2ec,setTodayTotalDetailSteps=1514627400000##4743##1409121##84671##102904##69337642,[]
14,20171226-18:31:49:145,Step_StandReportReceiver,30002312,REPORT : 4377 3125 119977 120,3f605027,REPORT : <*> <*> <*> 120,"['4377', '3125 119977']"
15,20171229-21:46:17:672,HiH_DataStatManager,30002312,"new date =20171229, type=40002,4517.0,old=4556.0",a43e73fc,new date <*> <*>,"['=20171229, type=40002,4517.0,old=4556.0']"
16,20171228-19:14:27:202,Step_LSC,30002312,onExtend:1514459666000 1 0 4,0ce98313,<*> <*> <*> <*>,"['onExtend:1514459666000', '1 0 4']"
17,20171224-22:32:20:2,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=630,cbcd504a,calculateAltitudeWithCache <*>,['totalAltitude=630']
18,20171230-18:53:44:117,Step_LSC,30002312,onStandStepChanged 5450,93067dc4,onStandStepChanged <*>,['5450']
