EventId,EventTemplate,Occurrences
98fe7210,network changed: <*> <*> <*> SMB,56
3813df52,Location icon should now be in state <*>,494
1efe32ce,network changed: DNS* Proxy,69
61cb43e6,"SOSAccountThisDeviceCanSyncWithCircle sync with device failure: Error Domain=<*> Code=1035 ""Account identity not set"" UserInfo={NSDescription=Account identity not set}",156
55561498,ARPT: <*> wl0: MDNS: IPV6 Addr: <*>,426
7c9ca2b5,"IO80211AWDLPeerManager::setAwdlSuspendedMode() Suspending AWDL, enterQuietMode(true)",178
94349d5a,sigio_handler: sigio_handler_active != <*>,69
b2490040,Failed to connect <*> outlet from <*> to <*> missing setter or instance variable,13
e53fcc69,<*> <*> <*> [lvl=2] -[KSUpdateCheckAction performAction] KSUpdateCheckAction starting update check for ticket(s): {(,16
cb6d7ba7,-[UABestAppSuggestionManager notifyBestAppChanged:type:options:bundleIdentifier:activityType:dynamicIdentifier:when:confidence:deviceName:deviceIdentifier:deviceType:] (null) UASuggestedActionType=0 (null)/(null) opts=(null) <*> <*> +0000 confidence=1 from=(null)/(null) (UABestAppSuggestionManager.m #319),172
df7d7c2a,in6_unlink_ifa: IPv6 address <*> has no prefix,254
d8cfefd6,<*> <<<< Boss >>>> figPlaybackBossPrerollCompleted: unexpected preroll-complete notification,342
b7aaf5db,Thermal pressure state: <*> Memory pressure state: 0,691
1b3b24d2,"NETWORK: no response from server, reachability, 2, queryRetries, <*>",29
19147422,<*> deny network-outbound /private/var/run/mDNSResponder,428
4b8095ea,en0: Supported channels 1 2 3 4 5 6 7 8 9 10 11 12 13 36 40 44 48 52 56 60 64 100 104 108 112 116 120 124 128 132 136 140 144 149 153 157 161,87
fe0771c3,dnssd_clientstub ConnectToServer: connect()-> No of tries: <*>,826
e17e31e5,Error in <*> -1856,49
c6c6ddc6,<*> parser:didStartElement:namespaceURI:qualifiedName:attributes:] Type not found in EWSItemType for ExchangePersonIdGuid (t:ExchangePersonIdGuid),135
ca501184,send_datagram_available_ping: pid 445 failed to act on a ping it dequeued before timing out.,567
0d7e00fb,"<*> scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",2539
1b7a983d,dnssd_clientstub ConnectToServer: connect() failed path:/var/run/mDNSResponder Socket:4 Err:-1 Errno:1 Operation not permitted,256
d8e2131a,[<*>] [Refusing to parse response to PROPPATCH because of content-type: [text/html; charset=UTF-8].],95
3f143fab,Received Capture Event,344
04f0e432,AppleThunderboltNHIType2::prePCIWake - power up complete - took <*> us,353
91ae3b89,ARPT: <*> framerdy 0x0 bmccmd <*> framecnt 1024,142
c8ade769,<<<< MediaValidator >>>> <*> Unrecognized codec <*>,17
54c05f44,tcp_connection_handle_connect_conditions_bad <*> failed: 3 - No network route,305
96315708,"<<<< FigByteStream >>>> FigByteStreamStatsLogOneRead: ByteStream read of <*> bytes @ <*> took <*> <*> to complete, <*> reads >= <*> sec.",35
c86dfdd9,Bluetooth -- LE is supported - Disable LE meta event,196
fea8a7f7,IOThunderboltSwitch<0>(0x0)::listenerCallback - Thunderbolt HPD packet for route = 0x0 port = <*> unplug = 0,603
efbe60c3,ARPT: <*> wl0: setup_keepalive: Seq: <*> Ack: <*> Win size: <*>,140
793e6b56,<IMMacNotificationCenterManager: <*> notification observer: <*> notification: __CFNotification <*> {name = <*>,38
01660cbd,ARPT: <*> AirPort_Brcm43xx::platformWoWEnable: <*>,365
8f8ef862,ARPT: <*> AirPort_Brcm43xx::syncPowerState: WWEN[enabled],172
e3d70e64,<*> <*> | I | VoipWrapper | DAVEngineImpl.cpp:1400:Close | close video chat. llFriendUIN = <*>,98
bb15d06c,Sandbox: <*> deny(1) <*> <*>,623
3a1142a3,Cocoa scripting error for <*> four character codes must be four characters long.,1383
a0672ef8,"ARPT: <*> wl0: setup_keepalive: interval <*> retry_interval 30, retry_count 10",156
b9b132a2,"Path not allowed in target domain: type = pid, path = /System/Library/StagedFrameworks/Safari/SafariShared.framework/Versions/A/XPCServices/<*>/Contents/MacOS/<*> error = 147: The specified service did not ship in the requestor's bundle, origin = /System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/<*>",305
b7a2d271,en0::IO80211Interface::postMessage bssid changed,192
19ae0400,"<*> Owner: <*>, Name: <*>",99
ecd68958,en0: <*> changed to <*>,921
a5714044,AppleThunderboltGenericHAL::earlyWake - complete - took <*> milliseconds,334
6a6d7984,IO80211AWDLPeerManager::setAwdlOperatingMode Setting the AWDL operation mode from <*> to <*>,361
d9e7a914,<*> FigAgglomeratorSetObjectForKey signalled err=-16020 (kFigStringConformerError_ParamErr) (NULL key) at /Library/Caches/<*>/Sources/CoreMedia/<*>/Prototypes/LegibleOutput/FigAgglomerator.c line 92,378
f1885a0f,CCFile::captureLogRun Skipping current file Dir file <*> Current File <*>,403
a507ad97,<*> dealloc,304
883aa790,ARPT: <*> AirPort_Brcm43xx::powerChange: System Wake - Full Wake/ Dark Wake / Maintenance wake,169
e5d5eae1,en0: manual intervention required!,6
917783b9,ARPT: <*> AQM agg params 0xfc0 maxlen hi/lo 0x0 0xffff minlen 0x0 adjlen 0x0,148
703d433b,ARPT: <*> wl0: <*> <*> <*> <*>,461
fddcfc77,"Setting BTCoex Config: enable_2G:1, profile_2g:0, enable_5G:1, profile_5G:0",124
f6b506b5,Unable to start NetBIOS name service:,21
8640a5a0,"ARPT: <*> IOPMPowerSource Information: <*> SleepType: Normal Sleep, 'ExternalConnected': <*> 'TimeRemaining': <*>",325
005b6de9,AirPort: Link Down on awdl0. Reason 1 (Unspecified).,192
6acacd5e,ChromeExistion main <*> = <*>,67
9a054d77,-[NETClientConnection effectiveBundleID] using process name <*> as bundle ID (this is expected for daemons without bundle ID,257
daf4250b,Using ticket store: <*> <*>,2
7ad80bd1,"[Accounts] Current connection, <NSXPCConnection: <*> connection from pid <*> doesn't have account access.",41
795a719d,[<*>] [Adding [<CalDAVAccountRefreshQueueableOperation: <*> Sequence: 0>] to failed operations.],22
c35492ee,efi pagecount 72,21
5d3b8c8e,AppleCamIn::handleWakeEvent_gated,236
b8b74f3f,CCFile::copyFile fileName is <*> source <*> dest <*>,421
086cf4fa,__42-[NETClientConnection evaluateCrazyIvan46]_block_invoke CI46 - Hit by torpedo! <*> <*> <*>,169
c98b00da,<*> : BTLE scanning <*>,70
4a019d20,CCFile::captureLog,298
75353338,Unrecognized attribute value: t:AbchPersonItemType,141
13635c18,<*> - <*> = <*>,1098
8b905e1d,-[NETClientConnection evaluateCrazyIvan46] CI46 - Perform CrazyIvan46! <*> <*> <*>,175
c33b47fd,[HID] [MT] <*> entered,78
60a798bd,<*> <*> <*> [lvl=2] <*> <*> <*> <*> <*> <*>,11
b4bf6097,<*> : BTLE scanner Powered <*>,186
9cf261a8,ARPT: <*> wlc_dump_aggfifo:,150
ec92d509,ARPT: <*> AQM agg results <*> len hi/lo: 0x0 <*> BAbitmap(0-3) 0 0 0 0,136
b55176d9,jemmytest,189
60a574ff,CCFile::captureLog Received Capture notice id: <*> reason = <*>,344
8dc94ec9,doSaveChannels@286: Will write to: <*> - <*>,135
32614d3a,tcp_connection_tls_session_error_callback_imp <*> <*> error <*>,104
1ca51907,__73-[NetworkAnalyticsEngine observeValueForKeyPath:ofObject:change:context:]_block_invoke unexpected switch value 2,179
4d69df78,Error returned from iconservicesagent: (null),240
44545874,TBT W (2): 0x0040 [x],186
7437a69c,en0: 802.11d country code set to <*>,147
