LineId,Date,Day,Time,Component,Pid,Content,EventId,EventTemplate,ParameterList
1,Jan,4,09:53:14,LabSZ,26659,Failed password for root from 59.63.188.30 port 24870 ssh2,07159a74,<*> password for <*> from <*> port <*> ssh2,"['Failed', 'root', '59.63.188.30', '24870']"
2,Jan,5,06:54:47,LabSZ,15186,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=182.100.67.52  user=root,e35a70fe,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> <*>,['182.100.67.52  user=root']
3,Jan,3,19:09:06,LabSZ,6399,PAM service(sshd) ignoring max retries; 6 > 3,2dd88708,PAM service(sshd) ignoring max retries; 6 > 3,[]
4,Jan,4,02:40:16,LabSZ,13890,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=218.87.109.156  user=root,e35a70fe,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> <*>,['218.87.109.156  user=root']
5,Jan,3,01:22:47,LabSZ,23864,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.63.110.206  user=root,e35a70fe,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> <*>,['183.63.110.206  user=root']
6,Dec,17,03:08:15,LabSZ,18212,Failed password for root from 183.129.154.138 port 52150 ssh2,07159a74,<*> password for <*> from <*> port <*> ssh2,"['Failed', 'root', '183.129.154.138', '52150']"
7,Jan,2,19:18:26,LabSZ,9339,Failed password for root from 183.63.110.206 port 42658 ssh2,07159a74,<*> password for <*> from <*> port <*> ssh2,"['Failed', 'root', '183.63.110.206', '42658']"
8,Dec,16,20:44:01,LabSZ,6705,Connection closed by 183.238.178.195 [preauth],2491ca3e,Connection closed by <*> [preauth],['183.238.178.195']
9,Dec,12,05:44:53,LabSZ,18940,Failed password for root from 183.238.178.195 port 14681 ssh2,07159a74,<*> password for <*> from <*> port <*> ssh2,"['Failed', 'root', '183.238.178.195', '14681']"
10,Jan,4,06:18:53,LabSZ,20390,Disconnecting: Too many authentication failures for root [preauth],ea4aa83d,Disconnecting: Too many authentication failures for root [preauth],[]
11,Dec,16,21:23:15,LabSZ,8857,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=209.250.241.56,e2315f39,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,['209.250.241.56']
12,Jan,3,23:43:50,LabSZ,10449,Disconnecting: Too many authentication failures for root [preauth],ea4aa83d,Disconnecting: Too many authentication failures for root [preauth],[]
13,Jan,4,10:37:36,LabSZ,27866,PAM service(sshd) ignoring max retries; 6 > 3,2dd88708,PAM service(sshd) ignoring max retries; 6 > 3,[]
14,Dec,30,05:34:33,LabSZ,9078,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=139.219.191.138  user=root,e35a70fe,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> <*>,['139.219.191.138  user=root']
15,Dec,23,10:12:39,LabSZ,28024,input_userauth_request: invalid user dong [preauth],6b674ff1,input_userauth_request: invalid user <*> [preauth],['dong']
16,Jan,3,15:52:54,LabSZ,3507,PAM service(sshd) ignoring max retries; 6 > 3,2dd88708,PAM service(sshd) ignoring max retries; 6 > 3,[]
17,Dec,30,05:58:29,LabSZ,10488,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=119.7.221.137  user=root,e35a70fe,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> <*>,['119.7.221.137  user=root']
18,Jan,3,16:30:57,LabSZ,4059,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=59.63.188.30  user=root,e35a70fe,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> <*>,['59.63.188.30  user=root']
19,Dec,16,06:18:10,LabSZ,23386,Received disconnect from 115.71.16.143: 11: Bye Bye [preauth],c5704dd9,Received disconnect from <*>: 11: Bye Bye [preauth],['115.71.16.143']
20,Dec,18,01:52:08,LabSZ,6059,pam_unix(sshd:auth): check pass; user unknown,0849a7d0,pam_unix(sshd:auth): check pass; user unknown,[]
21,Dec,15,15:21:05,LabSZ,19496,Failed password for root from 183.238.25.86 port 22951 ssh2,07159a74,<*> password for <*> from <*> port <*> ssh2,"['Failed', 'root', '183.238.25.86', '22951']"
22,Jan,3,01:36:08,LabSZ,25070,Connection closed by 183.63.110.206 [preauth],2491ca3e,Connection closed by <*> [preauth],['183.63.110.206']
23,Jan,5,07:34:40,LabSZ,15953,Disconnecting: Too many authentication failures for root [preauth],ea4aa83d,Disconnecting: Too many authentication failures for root [preauth],[]
24,Dec,10,12:45:58,LabSZ,32210,Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],c5704dd9,Received disconnect from <*>: 11: Bye Bye [preauth],['183.62.140.253']
25,Dec,11,19:41:36,LabSZ,31329,Connection closed by 183.63.172.52 [preauth],2491ca3e,Connection closed by <*> [preauth],['183.63.172.52']
26,Dec,19,22:40:09,LabSZ,12401,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=209.250.242.246,e2315f39,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,['209.250.242.246']
27,Jan,2,23:14:44,LabSZ,17590,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.63.110.206  user=root,e35a70fe,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> <*>,['183.63.110.206  user=root']
28,Jan,4,03:29:02,LabSZ,15300,PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=59.63.188.30  user=root,d207b4f5,PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>  user=root,['59.63.188.30']
29,Jan,2,01:47:55,LabSZ,20159,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=58.242.83.25  user=root,e35a70fe,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> <*>,['58.242.83.25  user=root']
30,Jan,3,18:35:35,LabSZ,5840,PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=59.63.188.30  user=root,d207b4f5,PAM 5 more authentication failures; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>  user=root,['59.63.188.30']
31,Jan,3,01:59:05,LabSZ,27012,Connection closed by 183.63.110.206 [preauth],2491ca3e,Connection closed by <*> [preauth],['183.63.110.206']
32,Jan,4,11:47:00,LabSZ,29888,PAM service(sshd) ignoring max retries; 6 > 3,2dd88708,PAM service(sshd) ignoring max retries; 6 > 3,[]
33,Dec,15,12:24:14,LabSZ,17291,input_userauth_request: invalid user D-Link [preauth],6b674ff1,input_userauth_request: invalid user <*> [preauth],['D-Link']
34,Jan,3,02:55:01,LabSZ,31772,Failed password for root from 183.63.110.206 port 59106 ssh2,07159a74,<*> password for <*> from <*> port <*> ssh2,"['Failed', 'root', '183.63.110.206', '59106']"
35,Dec,30,08:55:07,LabSZ,19946,Failed password for invalid user admin from 94.177.161.99 port 59297 ssh2,ca409192,Failed <*> for invalid user <*> from <*> port <*> ssh2,"['password', 'admin', '94.177.161.99', '59297']"
36,Dec,12,04:44:42,LabSZ,15432,Connection closed by 183.238.178.195 [preauth],2491ca3e,Connection closed by <*> [preauth],['183.238.178.195']
37,Jan,2,10:30:38,LabSZ,1902,PAM service(sshd) ignoring max retries; 6 > 3,2dd88708,PAM service(sshd) ignoring max retries; 6 > 3,[]
38,Dec,12,00:57:47,LabSZ,4535,Connection closed by 183.129.173.73 [preauth],2491ca3e,Connection closed by <*> [preauth],['183.129.173.73']
39,Dec,17,05:36:44,LabSZ,26201,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.129.154.138  user=root,e35a70fe,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> <*>,['183.129.154.138  user=root']
40,Dec,13,19:15:14,LabSZ,6503,Received disconnect from 203.190.163.125: 11: Bye Bye [preauth],c5704dd9,Received disconnect from <*>: 11: Bye Bye [preauth],['203.190.163.125']
41,Dec,21,02:05:01,LabSZ,17312,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=60.2.12.12  user=root,e35a70fe,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> <*>,['60.2.12.12  user=root']
42,Dec,16,10:30:09,LabSZ,24106,Received disconnect from 185.165.29.57: 11: Bye Bye [preauth],c5704dd9,Received disconnect from <*>: 11: Bye Bye [preauth],['185.165.29.57']
43,Dec,11,05:59:43,LabSZ,21851,Failed password for invalid user admin from 5.188.10.156 port 39375 ssh2,ca409192,Failed <*> for invalid user <*> from <*> port <*> ssh2,"['password', 'admin', '5.188.10.156', '39375']"
44,Jan,6,15:03:51,LabSZ,24409,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=212.237.45.42  user=root,e35a70fe,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> <*>,['212.237.45.42  user=root']
45,Dec,23,03:38:30,LabSZ,27091,error: Received disconnect from 103.99.0.122: 14: No more user authentication methods available. [preauth],d7242a1b,error: Received disconnect from <*>: 14: No more user authentication methods available. [preauth],['103.99.0.122']
46,Jan,2,08:06:06,LabSZ,29572,Failed password for root from 58.242.83.25 port 49264 ssh2,07159a74,<*> password for <*> from <*> port <*> ssh2,"['Failed', 'root', '58.242.83.25', '49264']"
47,Jan,3,05:42:23,LabSZ,11681,Invalid user nagios from 119.164.255.203,9302fad4,Invalid user <*> from <*>,"['nagios', '119.164.255.203']"
48,Jan,4,11:23:32,LabSZ,29208,Failed password for root from 218.87.109.156 port 18698 ssh2,07159a74,<*> password for <*> from <*> port <*> ssh2,"['Failed', 'root', '218.87.109.156', '18698']"
49,Dec,30,04:29:29,LabSZ,5739,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=139.219.191.138  user=root,e35a70fe,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> <*>,['139.219.191.138  user=root']
50,Jan,3,19:04:54,LabSZ,6244,PAM service(sshd) ignoring max retries; 6 > 3,2dd88708,PAM service(sshd) ignoring max retries; 6 > 3,[]
51,Dec,31,02:53:46,LabSZ,30143,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=169-0-180-253.ip.afrihost.co.za,e2315f39,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*>,['169-0-180-253.ip.afrihost.co.za']
52,Dec,12,04:29:33,LabSZ,13943,Connection closed by 183.238.178.195 [preauth],2491ca3e,Connection closed by <*> [preauth],['183.238.178.195']
53,Jan,1,21:23:55,LabSZ,14595,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=182.100.67.120  user=root,e35a70fe,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> <*>,['182.100.67.120  user=root']
54,Dec,16,19:13:09,LabSZ,1415,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.238.178.195  user=root,e35a70fe,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=<*> <*>,['183.238.178.195  user=root']
55,Dec,17,05:53:06,LabSZ,27076,Failed password for root from 183.129.154.138 port 49050 ssh2,07159a74,<*> password for <*> from <*> port <*> ssh2,"['Failed', 'root', '183.129.154.138', '49050']"
56,Jan,4,04:15:34,LabSZ,16747,pam_unix(sshd:auth): check pass; user unknown,0849a7d0,pam_unix(sshd:auth): check pass; user unknown,[]
