LineId,LogId,Node,Component,State,Time,Flag,Content,EventId,EventTemplate,ParameterList
1,76580,node-43,unix.hw,net.niff.up,1077205375,1,NIFF: node node-43 has detected an available network connection on network 10.128.0.0 via interface ee0,56597868,NIFF node <*> has detected an available network connection on network <*> via interface <*>,"['node-43', '10.128.0.0', 'ee0']"
2,340917,gige6,gige,temperature,1083592953,1,normal,fea08751,normal,[]
3,393371,gige6,gige,temperature,1088333860,1,warning,7b83d3f0,warning,[]
4,74494,node-9,node,temperature,1127508840,1,ambient=29,92f0ab0d,ambient<*>,['29']
5,383856,node-239,node,temperature,1086633900,1,ambient=34,92f0ab0d,ambient<*>,['34']
6,48286,node-247,node,temperature,1126363680,1,ambient=30,92f0ab0d,ambient<*>,['30']
7,370842,node-202,unix.hw,state_change.unavailable,1085735928,1,Component State Change: Component \042alt0\042 is in the unavailable state (HWID=3168),04d0d857,Component State Change Component <*> is in the <*> state (HWID<*>),"['\\042alt0\\042', 'unavailable', '3168']"
8,433602,gige6,gige,temperature,1095476706,1,normal,fea08751,normal,[]
9,2598111,Interconnect-0N03,switch_module,error,1074290649,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
10,439033,gige7,gige,temperature,1097609491,1,normal,fea08751,normal,[]
11,76404,node-36,action,start,1077205055,1,boot  (command 2222),8d336518,boot (command <*>,['2222']
12,34109,Interconnect-0N00,switch_module,fan,1125660890,1,Fan speeds ( 3552 3534 3375 **** 3515 3479 ),1517e6c6,Fan speeds ( <*> 3534 <*> **** <*> 3479 ),"['3552', '3375', '3515']"
13,2611178,Interconnect-0N00,switch_module,error,1074502625,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
14,294508,Interconnect-1N03,switch_module,error,1081391986,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
15,2609762,node-D1,clusterfilesystem,clusterfilesystem.not_served,1074498033,1,ClusterFileSystem: ServerFileSystem domain root13_local is no longer served by node node-44,8f3207a1,ClusterFileSystem ServerFileSystem domain <*> is no longer served by node <*>,"['root13_local', 'node-44']"
16,87854,gige7,gige,temperature,1077484875,1,normal,fea08751,normal,[]
17,320206,node-42,node,temperature,1139333672,1,ambient=37,92f0ab0d,ambient<*>,['37']
18,2568077,Interconnect-1N01,switch_module,error,1074101935,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
19,262945,Interconnect-1T01,switch_module,error,1133551173,1,link errors remain current,551adf73,link errors remain current,[]
20,69154,node-206,node,status,1108646010,1,configured out,8cfafe98,configured out,[]
21,380556,node-213,node,temperature,1141918650,1,ambient=33,92f0ab0d,ambient<*>,['33']
22,436609,node-228,node,temperature,1143931470,1,ambient=23,92f0ab0d,ambient<*>,['23']
23,341460,2926,del_member_cmd,success,1083704195,1,Command has completed successfully,b4e25afc,Command has completed successfully,[]
24,165410,Interconnect-1T01,switch_module,error,1130690244,1,link errors remain current,551adf73,link errors remain current,[]
25,135956,Interconnect-1N01,switch_module,error,1077808430,1,Linkerror event interval expired,9050ee25,Linkerror event interval expired,[]
26,230518,gige6,gige,temperature,1117498221,1,normal,fea08751,normal,[]
