EventId,EventTemplate,Occurrences
4d1c02bf,en0 IO80211Interface postMessage bssid changed,25
41cc71b5,CCFile captureLog <*>,40
ce70ef54,CCFile captureLogRun Skipping current file Dir file <*> <*> <*> Current File <*>,62
8fe35238,<*> <*> <*> <*> | I | VoipWrapper | DAVEngineImpl.cpp 1400 Close | close video chat. llFriendUIN <*>,11
43827e0b,AirPort Link Up on <*>,32
7e19bd46,ARPT <*> wl0 MDNS IPV4 Addr <*>,20
74ccb6be,Sandbox <*> deny(1) network-outbound /private/var/run/mDNSResponder,67
c25cc5f9,IOThunderboltSwitch<0>(0x0) listenerCallback - Thunderbolt HPD packet for route 0x0 port <*> unplug 0,68
819a413c,ARPT <*> AirPort_Brcm43xx platformWoWEnable <*>,47
f55981fa,send_datagram_available_ping pid 445 failed to act on a ping it dequeued before timing out.,94
172b1ab5,ARPT <*> wl0 setup_keepalive Local port <*> Remote port <*>,14
32a8bd62,ARPT <*> wlc_dump_aggfifo,16
5612c34c,AppleCamIn handleWakeEvent_gated,26
19147422,<*> deny network-outbound /private/var/run/mDNSResponder,57
591758ae,en0 802.11d country code set to <*>,21
03bd8bcc,Wake reason <*>,30
71ed56f2,AppleCamIn systemWakeCall - messageType <*>,107
725af103,bitmap_size 0x7f0fc previewSize 0x4028 writing 455779 pages @ 0x97144,1
031aa8ae,Path not allowed in target domain type pid path /System/Library/StagedFrameworks/Safari/SafariShared.framework/Versions/A/XPCServices/<*>/Contents/MacOS/<*> error 147 The specified service did not ship in the requestor's bundle origin /System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCServices/<*>,42
66c2744c,CCIOReporterFormatter addRegistryChildToChannelDictionary streams 7,13
d88565cb,[00 28 39.799] (Fig) signalled err -1001,1
a6622136,ARPT <*> wl0 <*> <*> Seq <*> Ack <*> Win size 4096,34
71a3183a,en0 channel changed to <*>,65
a2a4d2de,network_reachability_changed network is not reachable netbiosd is shutting down,9
324e9f27,tcp_connection_handle_connect_conditions_bad <*> failed 3 - No network route,33
55c2aa89,20 <*> <*> BTLE scanner Powered On,2
5c16703e,CCFile captureLogRun() Exiting CCFile captureLogRun,59
9a054d77,-[NETClientConnection effectiveBundleID] using process name <*> as bundle ID (this is expected for daemons without bundle ID,37
